Saot Amerika	Sydamerika
Norway	Norge
Ireland	Irland
Hungary	Ungern
Spain	Spanien
Yunaeted Stet blong Amerika	USA
Belgium	Belgien
Luxembourg	Luxemburg
Finland	Finland
Sweden	Sverige
Denmark	Danmark
Poland	Polen
Litwania	Litauen
Itali	Italien
Switzerland	Schweiz
Austria	Österrike
Greece	Grekland
Turkey	Turkiet
Portugal	Portugal
Yurop	Europa
Esia	Asien
Wikipedia	Wikipedia
Netherlands	Nederländerna
Berlin	Berlin
Barak Obama	Barack Obama
Uruguay	Uruguay
London	London
Paris	Paris
Mexico	Mexiko
Pasifik	Stilla havet
Kalifornia	Kalifornien
Boston, Massachusetts	Boston
Franis	Frankrike
Unaeted Kingdom	Storbritannien
China	Kina
Brazil	Brasilien
Rusia	Ryssland
Alabama	Alabama
Germany	Tyskland
Belarus	Vitryssland
Iceland	Island
Estonia	Estland
David Cameron	David Cameron
Wan	1 (tal)
Tu	2 (tal)
Tri	3 (tal)
Fo	4 (tal)
Faef	5 (tal)
Latvia	Lettland
Ukraine	Ukraina
Czechia	Tjeckien
Slovakia	Slovakien
Slovenia	Slovenien
Vilnius	Vilnius
Moldova	Moldavien
Romania	Rumänien
Bulgaria	Bulgarien
Rome	Rom
Macedonia	Makedonien
Albania	Albanien
Croatia	Kroatien
Bosnia and Herzegovina	Bosnien och Hercegovina
Azerbaijan	Azerbajdzjan
Andorra	Andorra
Cyprus	Cypern
Georgian Republic	Georgien
Kazakhstan	Kazakstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatican Siti	Vatikanstaten
San Marino	San Marino
Indonesia	Indonesien
Warsaw	Warszawa
Wota	Vatten
Chile	Chile
Jisas Kraes	Jesus
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapore
Saens	Vetenskap
Liechtenstein	Liechtenstein
Spot	Sport
Wol Wo Tu	Andra världskriget
Armenia	Armenien
Serbia	Serbien
Ostrelia	Australien
Argentina	Argentina
Peru	Peru
Baeoloji	Biologi
Islam	Islam
Boteni	Botanik
Flaoa	Blomma
Wikimidia Commons	Wikimedia Commons
Moskow	Moskva
San-Peterburg	Sankt Petersburg
Niu Zilan	Nya Zeeland
India	Indien
Aean	Järn
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papua Nya Guinea
Venezuela	Venezuela
Maine	Maine
Animol	Djur
Paraguay	Paraguay
Colombia	Colombia
Budisim	Buddhism
Bolivia	Bolivia
Niu Hampshire	New Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Hawaii
Alaska	Alaska
Florida	Florida
Arizona	Arizona
Laos	Laos
Oregon	Oregon
Yuta	Utah
Burma	Burma
Vietnam	Vietnam
Saot Koria	Sydkorea
Bangladesh	Bangladesh
Bhutan	Bhutan
Twitter	Twitter
Julius Caesar	Julius Caesar
Yunaeted Nesen	Förenta nationerna
Jiografi	Geografi
Bren	Hjärna
Prague	Prag
Michigan	Michigan
Illinois	Illinois
Not Dakota	North Dakota
Saut Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington (delstat)
Nevada	Nevada
Colorado	Colorado
Delhi	Delhi
Virginia	Virginia
West Virginia	West Virginia
Niu York (Bundesstaat)	New York (delstat)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Niu Yersey	New Jersey
Indiana	Indiana
Georgia	Georgia
Texas	Texas
Not Carolina	North Carolina
Saut Carolina	South Carolina
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
Niu Mexico	New Mexico
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindi	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Vienna	Wien
Stockholm	Stockholm
Wrocław	Wrocław
Baebol	Bibeln
Ho Chi Minh City	Ho Chi Minh-staden
Tru Jisas Jioj	The True Jesus Church
Andorra la Vella	Andorra la Vella
Dong Hoi	Dong Hoi
Concepción	Concepción, Chile
Końskowola	Końskowola
Kurów	Kurów
Kemistri	Kemi
Madrid	Madrid
Sydney	Sydney
Delmenhorst	Delmenhorst
Osasco	Osasco
Curitiba	Curitiba
Confucius	Konfucius
Category:Matematikis	Kategori:Matematik
Faroe aelan	Färöarna
Kristaniti	Kristendom
Céline Dion	Céline Dion
Kontinen	Världsdelar och kontinenter
Kapitol	Huvudstad
Monzón	Monzón
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Nambawan Pej	Portal:Huvudsida
Template:Gud atikel	Mall:Bra
Category:Candidates for speedy deletion	Kategori:Snabbraderingar
Kaontri	Land
Indianapolis, Indiana	Indianapolis
Elmshorn	Elmshorn
Qin Shi Huang	Qin Shi Huangdi
Ae	Öga
Kamel	Kameler
Obesin	Aubergine
Dakdak	Egentliga andfåglar
Toktok Rusia	Ryska
Nelson Mandela	Nelson Mandela
Volkeno	Vulkan
Bigwin	Tropisk cyklon
Category:Franis	Kategori:Frankrike
Kofi	Kaffe
Seoul	Seoul
Toktok Ukraine	Ukrainska
Dipsi	Ocean
Buddha	Buddha
Muhammed	Muhammed
Martin Luther	Martin Luther
Michael Schumacher	Michael Schumacher
Elisabet II	Elizabeth II
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Kategori:Venezuela
Lugo	Lugo
Category:Brazil	Kategori:Brasilien
Oktri	Eksläktet
Kanal	Kanal
Leji	Litchi
Kokonas	Kokospalm
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Mérida	Mérida
Template:Link FA	Mall:Link FA
Busan	Pusan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix
Austin, Texas	Austin
Columbus, Ohio	Columbus, Ohio
Flaeg blong Rusia	Rysslands flagga
Sacramento, Kalifornia	Sacramento
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence
Naen	9 (tal)
Bien Hoa	Bien Hoa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipedia:Bra artiklar
Breinigerberg	Breinigerberg
Moai	Moai
Daejeon	Daejeon
Sejong	Sejong City
Incheon	Inchon
Nashville, Tennessee	Nashville
Sol Lek Siti	Salt Lake City
Seven	7 (tal)
Eit	8 (tal)
Lord's Prayer	Herrens bön
Galik	Vitlök
Kukamba	Gurka
Sikis	6 (tal)
Moshchena	Mosjtjena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida, Venezuela
Atlanta, Georgia	Atlanta
Ten	10 (tal)
Albany, Niu York	Albany, New York
Ca Mau	Ca Mau
Harrisburg, Pennsylvania	Harrisburg
Da Lat	Da Lat
Phan Thiet	Phan Thiet
Hoknaet	Tornuggla
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton
Thai Nguyen	Thai Nguyen
Jefferson City, Missouri	Jefferson City
Jackson, Mississippi	Jackson, Mississippi
Augusta, Maine	Augusta, Maine
Baton Rouge, Louisiana	Baton Rouge
Lansing, Michigan	Lansing
Concord, New Hampshire	Concord, New Hampshire
Lincoln, Nebraska	Lincoln, Nebraska
Annapolis, Maryland	Annapolis
Springfield, Illinois	Springfield, Illinois
Frankfort, Kentucky	Frankfort
Saint Paul, Minnesota	Saint Paul, Minnesota
Montgomery, Alabama	Montgomery, Alabama
Juneau, Alaska	Juneau
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock
Buon Ma Thuot	Buon Ma Thuot
Hartford, Connecticut	Hartford
Dover, Delaware	Dover, Delaware
Tok Pisin	Tok pisin
Anastacia	Anastacia
Yufreres	Eufrat
Vinh Long	Vinh Long
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bislama
Boise, Idaho	Boise
Al Bayda	Al-Bayda, Libyen
Bambu	Bambu
Thanh Hoa	Thanh Hoa
Port Moresby	Port Moresby
Ben Tre	Ben Tre
Arancón	Arancón
Twelef	12 (tal)
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck, North Dakota
Leven	11 (tal)
Avoka	Avokado
Cleveland, Ohio	Cleveland
John Calvin	Jean Calvin
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia, South Carolina
Santa Fe, Niu Mexico	Santa Fe, New Mexico
Helena, Montana	Helena, Montana
Des Moines, Iowa	Des Moines
Nawita	Åttaarmade bläckfiskar
Pierre, Saut Dakota	Pierre, South Dakota
Carson City, Nevada	Carson City
Topeka, Kansas	Topeka
Raleigh, Not Carolina	Raleigh, North Carolina
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Grapefrukt
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem, Oregon
Josef Smit	Joseph Smith
Oganaesesen blong ol Leba Raonwol	Internationella arbetsorganisationen
Iolu Abil	Iolu Abil
Namba	Räkneord
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Pugatjova
Flaeg blong Azerbaijan	Azerbajdzjans flagga
Sompiniong	Fruktkropp
Polanbol	Polandball
