Afrihkká	Afrika
Higgsa boson	Higgsboson
Serbia	Serbien
Mánnu	Månen
Istanbul	Istanbul
Australia	Australien
Argentiinná	Argentina
Peru	Peru
Davvi-Korea	Nordkorea
Cambodja	Kambodja
Isláma	Islam
Pearamuorat	Päronsläktet
Ljubljana	Ljubljana
Lech Wałęsa	Lech Wałęsa
Eurohpá uniovdna	Europeiska unionen
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia
666	666
Mount Everest	Mount Everest
Beaivváš	Solen
Oseania	Oceanien
Beaivvášgoddi	Solsystemet
Angela Merkel	Angela Merkel
Jándor	Dygn
Nuorta-Timor	Östtimor
Jahki	År
Jahkečuohti	Sekel
Oslo	Oslo
Katowice	Katowice
Lisboa	Lissabon
Dubai	Dubai
Planehta	Planet
Moskva	Moskva
Itáliagiella	Italienska
Chad	Tchad
Ođđa-Selánda	Nya Zeeland
India	Indien
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Salomonsullot	Salomonöarna
Vanuatu	Vanuatu
Papua-Ođđa-Guinea	Papua Nya Guinea
William Shakespeare	William Shakespeare
Palau	Palau
Nauru	Nauru
Mikronesia	Mikronesiens federerade stater
Marshallsullot	Marshallöarna
Kiribati	Kiribati
Mongolia	Mongoliet
Fiži	Fiji
Venezuela	Venezuela
Šáhkka	Schack
Maine	Maine
Heabuš	Häst
Amsterdam	Amsterdam
Suriname	Surinam
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Kolombia	Colombia
Eanamuorjjit	Smultronsläktet
Buddhisma	Buddhism
Bolivia	Bolivia
New Hampshire	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher ja Nevis	Saint Kitts och Nevis
Guobbarat	Svampar
Jamaica	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahama	Bahamas
Connecticut	Connecticut
Antigua ja Barbuda	Antigua och Barbuda
Haváija	Hawaii
Honduras	Honduras
Dominica	Dominica
Dominikána dásseváldi	Dominikanska republiken
Haiti	Haiti
El Salvador	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Jemen	Jemen
Polskkagiella	Polska
Jordánia	Jordanien
Nicaragua	Nicaragua
Florida	Florida
Kirgisistan	Kirgizistan
Arizona	Arizona
Kuwait	Kuwait
Laos	Laos
Libanon	Libanon
Oregon	Oregon
Malediivvat	Maldiverna
Utah	Utah
Malaysia	Malaysia
Valais (kantona)	Valais
Myanmar	Burma
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi-Arábia	Saudiarabien
Sri Lanka	Sri Lanka
Syria	Syrien
Platon	Platon
Tažikistan	Tadzjikistan
Taiwan	Taiwan
YouTube	Youtube
Aristoteles	Aristoteles
Thaieana	Thailand
Turkmenistan	Turkmenistan
Ovttastuvvan arábaemiráhtat	Förenade Arabemiraten
Vietnam	Vietnam
Lulli-Korea	Sydkorea
Afganistan	Afghanistan
Nižni Novgorod	Nizjnij Novgorod
J. R. R. Tolkien	J.R.R. Tolkien
Golli	Guld
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Tanzánia	Tanzania
Filippiinnat	Filippinerna
Gaska-Afrihká dásseváldi	Centralafrikanska republiken
Davvipola	Nordpolen
Albert Einstein	Albert Einstein
Togo	Togo
Tunisia	Tunisien
Zámbia	Zambia
Zimbabwe	Zimbabwe
Peking	Peking
Lulli-Sudan	Sydsudan
Tuva	Tuva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorat	Komorerna
Kongo dásseváldi	Kongo-Brazzaville
Kongo demokráhtalaš dásseváldi	Kongo-Kinshasa
Djibouti	Djibouti
Bayern	Bayern
Beaivvedási Guinea	Ekvatorialguinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Tbilisi	Tbilisi
Gabon	Gabon
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Elefántačalánriddu	Elfenbenskusten
Kamerun	Kamerun
Kap Verde	Kap Verde
Lesotho	Lesotho
Liberia	Liberia
Libya	Libyen
Madagaskar	Madagaskar
Malawi	Malawi
Mauritánia	Mauretanien
Mauritius	Mauritius
Marokko	Marocko
Mosambik	Moçambique
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Uganda	Uganda
Rwanda	Rwanda
São Tomé ja Príncipe	São Tomé och Príncipe
Senegal	Senegal
Seychellsullot	Seychellerna
Sierra Leone	Sierra Leone
Somália	Somalia
Sudan	Sudan
Svazieana	Swaziland
Hamborg	Hamburg
Ovttastuvvan našuvnnat	Förenta nationerna
Praha	Prag
Bill Clinton	Bill Clinton
Lothringen	Lorraine
Auvergne	Auvergne
Michigan	Michigan
Goa	Goa
Burgundi	Bourgogne
Akvitania	Aquitaine
Limousin	Limousin
Slesvig-Holsten	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
Illinois	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
Davvi-Dakota	North Dakota
Brandenburg	Brandenburg
Bremen	Bremen (delstat)
Lombardia	Lombardiet
Lulli-Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Idaho	Idaho
Valle d'Aosta	Aostadalen
Washington (oassestáhta)	Washington (delstat)
Nevada	Nevada
Trentino-Alto Adige	Trentino-Alto Adige
Veneto	Veneto
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurien
Colorado	Colorado
Emilia-Romagna	Emilia-Romagna
Toscana	Toscana
Marche	Marche
Umbria	Umbrien
Kategoriija:Váldokategoriijat	Kategori:Topp
Latium	Lazio
Abruzzo	Abruzzo
Chicago	Chicago
Spánskagiella	Spanska
Montevideo	Montevideo
Delhi	Delhi
Heavdni	Spindlar
Islamabad	Islamabad
Šattus	Frukt
Virginia	Virginia
Oarje-Virginia	West Virginia
New York (oassestáhta)	New York (delstat)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Suomagiella	Finska
Indiana	Indiana
Georgia (oassestáhta)	Georgia
KDE	KDE
Zagreb	Zagreb
Campania	Kampanien
Texas	Texas
Molise	Molise
Puglia	Apulien
Basilicata	Basilicata
Davvi-Carolina	North Carolina
Lulli-Carolina	South Carolina
Calabria	Kalabrien
Sicilia	Sicilien
Sardinia	Sardinien
Meksiko gávpot	Mexico City
Tokyo	Tokyo prefektur
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
New Mexico	New Mexico
Athena	Aten
Minnesota	Minnesota
UTC	Koordinerad universell tid
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Ciudad de Guatemala	Guatemala City
Kansas	Kansas
Hindigiella	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Urdugiella	Urdu
Oklahoma	Oklahoma
Moskva oblast	Moskva oblast
München	München
Samara oblast	Samara oblast
Wien	Wien
Københápman	Köpenhamn
Kaliningrad oblast	Kaliningrad oblast
Stockholbma	Stockholm
Helsset	Helsingfors
Murmansk oblast	Murmansk oblast
Dublin	Dublin
Murmánska	Murmansk
Reykjavík	Reykjavik
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Kárášjohka	Karasjoks kommun
Luxemburg (gávpot)	Luxemburg (stad)
Vaduz	Vaduz
Biibbal	Bibeln
Hồ Chí Minh gávpot	Ho Chi Minh-staden
Hanoi	Hanoi
Duođalaš Jesusa Girku	The True Jesus Church
Eaŋgalsgiella	Engelska
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Arkhangelsk oblast	Archangelsk oblast
Đồng Hới	Dong Hoi
Concepción, Chile	Concepción, Chile
Fyresdal	Fyresdals kommun
Kiova	Kiev
Gárjila dásseváldi	Karelska republiken
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
2004	2004
Vologda oblast	Vologda oblast
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Komi dásseváldi	Komi (delrepublik)
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Biebmu	Mat
Gearpmašat	Ormar
Ođđajagimánu 1.	1 januari
Ođđajagimánu 2.	2 januari
1920	1920
Ođđajagimánu 3.	3 januari
1919	1919
1921	1921
Njenec Iehčanas Guovlu	Nentsien
1922	1922
Lund (Rogalánda)	Lund
Ođđajagimánu 4.	4 januari
1923	1923
1924	1924
Leningrad oblast	Leningrad oblast
Ođđajagimánu 5.	5 januari
Malmö	Malmö
Pskov oblast	Pskov oblast
Ođđajagimánu 6.	6 januari
Ođđajagimánu 7.	7 januari
Nissedal	Nissedals kommun
Kviteseid	Kviteseids kommun
Ođđajagimánu 8.	8 januari
Seljord	Seljords kommun
Ođđajagimánu 9.	9 januari
Novgorod oblast	Novgorod oblast
Tokke	Tokke kommun
Ođđajagimánu 10.	10 januari
Vinje	Vinje kommun
Nizjnij Novgorod oblast	Nizjnij Novgorod oblast
Ođđajagimánu 11.	11 januari
Ođđajagimánu 12.	12 januari
Telemárkku fylka	Telemark fylke
Ođđajagimánu 13.	13 januari
Ođđajagimánu 14.	14 januari
Ođđajagimánu 15.	15 januari
Ođđajagimánu 16.	16 januari
Ođđajagimánu 17.	17 januari
Ođđajagimánu 18.	18 januari
Ođđajagimánu 19.	19 januari
Ođđajagimánu 20.	20 januari
Skien	Skien
Ođđajagimánu 21.	21 januari
Ođđajagimánu 22.	22 januari
Ođđajagimánu 23.	23 januari
Ođđajagimánu 24.	24 januari
Ođđajagimánu 25.	25 januari
Minsk	Minsk
Ođđajagimánu 26.	26 januari
Ođđajagimánu 27.	27 januari
Ođđajagimánu 28.	28 januari
Ođđajagimánu 29.	29 januari
Ođđajagimánu 30.	30 januari
Ođđajagimánu 31.	31 januari
Porsgrunn	Porsgrunns kommun
Tver oblast	Tver oblast
Juovlamánu 2.	2 december
Juovlamánu 1.	1 december
Juovlamánu 3.	3 december
Juovlamánu 7.	7 december
Juovlamánu 5.	5 december
Juovlamánu 8.	8 december
Juovlamánu 10.	10 december
Juovlamánu 6.	6 december
Juovlamánu 9.	9 december
Siljan	Siljans kommun
Juovlamánu 4.	4 december
Guovvamánu 1.	1 februari
Guovvamánu 2.	2 februari
Guovvamánu 3.	3 februari
Kurów	Kurów
Guovvamánu 4.	4 februari
Guovvamánu 5.	5 februari
Guovvamánu 6.	6 februari
Guovvamánu 7.	7 februari
Guovvamánu 8.	8 februari
Guovvamánu 9.	9 februari
Guovvamánu 10.	10 februari
Notodden	Notoddens kommun
Guovvamánu 14.	14 februari
Guovvamánu 13.	13 februari
Guovvamánu 15.	15 februari
Guovvamánu 11.	11 februari
Guovvamánu 12.	12 februari
Guovvamánu 19.	19 februari
Guovvamánu 17.	17 februari
Guovvamánu 16.	16 februari
Guovvamánu 18.	18 februari
Guovvamánu 20.	20 februari
Smolensk oblast	Smolensk oblast
Guovvamánu 21.	21 februari
Guovvamánu 22.	22 februari
Guovvamánu 23.	23 februari
Hjartdal	Hjartdals kommun
Guovvamánu 24.	24 februari
Guovvamánu 25.	25 februari
Guovvamánu 26.	26 februari
Guovvamánu 27.	27 februari
Guovvamánu 28.	28 februari
Juovlamánu 11.	11 december
Guovvamánu 29.	29 februari
Drangedal	Drangedals kommun
Juovlamánu 12.	12 december
Kragerø	Kragerø kommun
Nome	Nome kommun
Juovlamánu 13.	13 december
Sauherad	Sauherads kommun
Juovlamánu 14.	14 december
Juovlamánu 15.	15 december
Njukčamánu 2.	2 mars
Njukčamánu 3.	3 mars
Njukčamánu 5.	5 mars
Njukčamánu 1.	1 mars
Njukčamánu 7.	7 mars
Njukčamánu 8.	8 mars
Njukčamánu 4.	4 mars
Njukčamánu 10.	10 mars
Njukčamánu 11.	11 mars
Njukčamánu 6.	6 mars
Njukčamánu 13.	13 mars
Njukčamánu 9.	9 mars
Njukčamánu 12.	12 mars
Njukčamánu 15.	15 mars
Njukčamánu 14.	14 mars
Juovlamánu 16.	16 december
Juovlamánu 17.	17 december
Kristiansand	Kristiansand
Njukčamánu 16.	16 mars
Njukčamánu 17.	17 mars
Njukčamánu 18.	18 mars
Njukčamánu 19.	19 mars
1989	1989
1988	1988
Njukčamánu 20.	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
Njukčamánu 21.	21 mars
1983	1983
Njukčamánu 22.	22 mars
1982	1982
1981	1981
Juovlamánu 18.	18 december
1980	1980
Njukčamánu 23.	23 mars
Jaroslavl oblast	Jaroslavl oblast
Juovlamánu 19.	19 december
Njukčamánu 24.	24 mars
Njukčamánu 25.	25 mars
Juovlamánu 20.	20 december
Njukčamánu 26.	26 mars
Njukčamánu 27.	27 mars
Njukčamánu 28.	28 mars
Njukčamánu 29.	29 mars
Njukčamánu 30.	30 mars
Njukčamánu 31.	31 mars
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cuoŋománu 15.	15 april
Cuoŋománu 13.	13 april
Cuoŋománu 12.	12 april
Cuoŋománu 14.	14 april
Cuoŋománu 11.	11 april
Cuoŋománu 10.	10 april
Cuoŋománu 8.	8 april
Cuoŋománu 9.	9 april
Cuoŋománu 7.	7 april
Cuoŋománu 6.	6 april
Cuoŋománu 5.	5 april
Cuoŋománu 4.	4 april
Cuoŋománu 3.	3 april
Cuoŋománu 1.	1 april
Cuoŋománu 2.	2 april
Cuoŋománu 16.	16 april
Cuoŋománu 17.	17 april
Cuoŋománu 18.	18 april
Cuoŋománu 19.	19 april
Cuoŋománu 20.	20 april
Cuoŋománu 21.	21 april
Cuoŋománu 22.	22 april
Cuoŋománu 23.	23 april
Cuoŋománu 24.	24 april
Cuoŋománu 25.	25 april
Cuoŋománu 26.	26 april
Cuoŋománu 27.	27 april
Cuoŋománu 28.	28 april
Cuoŋománu 29.	29 april
Cuoŋománu 30.	30 april
Miessemánu 1.	1 maj
Miessemánu 2.	2 maj
Miessemánu 3.	3 maj
Miessemánu 4.	4 maj
Miessemánu 5.	5 maj
Miessemánu 6.	6 maj
Miessemánu 7.	7 maj
Miessemánu 8.	8 maj
Miessemánu 9.	9 maj
Miessemánu 10.	10 maj
Miessemánu 11.	11 maj
Miessemánu 12.	12 maj
Miessemánu 13.	13 maj
Miessemánu 14.	14 maj
Miessemánu 15.	15 maj
Miessemánu 16.	16 maj
Miessemánu 17.	17 maj
Miessemánu 18.	18 maj
Miessemánu 19.	19 maj
Miessemánu 20.	20 maj
Miessemánu 21.	21 maj
Miessemánu 22.	22 maj
Miessemánu 23.	23 maj
Miessemánu 24.	24 maj
Miessemánu 25.	25 maj
Miessemánu 26.	26 maj
Miessemánu 27.	27 maj
Miessemánu 28.	28 maj
Miessemánu 29.	29 maj
Miessemánu 30.	30 maj
Miessemánu 31.	31 maj
Kostroma oblast	Kostroma oblast
Juovlamánu 21.	21 december
Geassemánu 14.	14 juni
Geassemánu 15.	15 juni
Geassemánu 13.	13 juni
Geassemánu 10.	10 juni
Geassemánu 7.	7 juni
Geassemánu 11.	11 juni
Geassemánu 9.	9 juni
Geassemánu 12.	12 juni
Geassemánu 6.	6 juni
Geassemánu 8.	8 juni
Geassemánu 5.	5 juni
Geassemánu 3.	3 juni
Geassemánu 2.	2 juni
Geassemánu 1.	1 juni
Geassemánu 4.	4 juni
Juovlamánu 22.	22 december
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Geassemánu 16.	16 juni
Ivanovo oblast	Ivanovo oblast
Geassemánu 30.	30 juni
Geassemánu 29.	29 juni
Geassemánu 28.	28 juni
Geassemánu 26.	26 juni
Geassemánu 25.	25 juni
Geassemánu 22.	22 juni
Geassemánu 27.	27 juni
Geassemánu 24.	24 juni
Geassemánu 20.	20 juni
Geassemánu 23.	23 juni
Geassemánu 19.	19 juni
Geassemánu 18.	18 juni
Geassemánu 21.	21 juni
Geassemánu 17.	17 juni
Juovlamánu 23.	23 december
Suoidnemánu 15.	15 juli
Suoidnemánu 13.	13 juli
Suoidnemánu 12.	12 juli
Suoidnemánu 10.	10 juli
Suoidnemánu 9.	9 juli
Suoidnemánu 14.	14 juli
Suoidnemánu 8.	8 juli
Suoidnemánu 7.	7 juli
Suoidnemánu 6.	6 juli
Suoidnemánu 5.	5 juli
Suoidnemánu 2.	2 juli
Suoidnemánu 4.	4 juli
Suoidnemánu 3.	3 juli
Suoidnemánu 1.	1 juli
Suoidnemánu 11.	11 juli
Vladimir oblast	Vladimir oblast
Juovlamánu 24.	24 december
Suoidnemánu 31.	31 juli
Suoidnemánu 30.	30 juli
Suoidnemánu 29.	29 juli
Suoidnemánu 28.	28 juli
Suoidnemánu 27.	27 juli
Suoidnemánu 25.	25 juli
Suoidnemánu 24.	24 juli
Suoidnemánu 23.	23 juli
Suoidnemánu 26.	26 juli
Suoidnemánu 22.	22 juli
Suoidnemánu 19.	19 juli
Suoidnemánu 21.	21 juli
Suoidnemánu 20.	20 juli
Suoidnemánu 17.	17 juli
Suoidnemánu 18.	18 juli
Suoidnemánu 16.	16 juli
Spábbačiekčan	Fotboll
Juovlamánu 25.	25 december
Rjazan oblast	Rjazan oblast
1963	1963
Lech Kaczyński	Lech Kaczyński
Juovlamánu 26.	26 december
1962	1962
Borgemánu 14.	14 augusti
Borgemánu 15.	15 augusti
Borgemánu 13.	13 augusti
Borgemánu 12.	12 augusti
Borgemánu 11.	11 augusti
Borgemánu 10.	10 augusti
Borgemánu 8.	8 augusti
Borgemánu 7.	7 augusti
Borgemánu 9.	9 augusti
Borgemánu 5.	5 augusti
Borgemánu 4.	4 augusti
Borgemánu 2.	2 augusti
Borgemánu 3.	3 augusti
Borgemánu 6.	6 augusti
Borgemánu 1.	1 augusti
Tula oblast	Tula oblast
Juovlamánu 27.	27 december
Madrid	Madrid
Brjansk oblast	Brjansk oblast
Borgemánu 16.	16 augusti
Coca-Cola	Coca-Cola
Borgemánu 29.	29 augusti
Borgemánu 28.	28 augusti
Borgemánu 30.	30 augusti
Borgemánu 25.	25 augusti
Borgemánu 26.	26 augusti
Borgemánu 23.	23 augusti
Borgemánu 27.	27 augusti
Borgemánu 21.	21 augusti
Borgemánu 20.	20 augusti
Borgemánu 24.	24 augusti
Borgemánu 18.	18 augusti
Borgemánu 17.	17 augusti
Borgemánu 22.	22 augusti
Borgemánu 19.	19 augusti
Borgemánu 31.	31 augusti
Michael Jackson	Michael Jackson
Juovlamánu 28.	28 december
Kaluga oblast	Kaluga oblast
Čakčamánu 15.	15 september
Čakčamánu 14.	14 september
Čakčamánu 13.	13 september
Čakčamánu 12.	12 september
Čakčamánu 8.	8 september
Čakčamánu 11.	11 september
Čakčamánu 7.	7 september
Čakčamánu 10.	10 september
Čakčamánu 5.	5 september
Čakčamánu 4.	4 september
Čakčamánu 9.	9 september
Čakčamánu 2.	2 september
Čakčamánu 6.	6 september
Čakčamánu 1.	1 september
Čakčamánu 3.	3 september
Juovlamánu 29.	29 december
Alexander Lukašenka	Aleksandr Lukasjenko
Čakčamánu 30.	30 september
Čakčamánu 29.	29 september
Čakčamánu 28.	28 september
Čakčamánu 27.	27 september
Čakčamánu 26.	26 september
Čakčamánu 25.	25 september
Čakčamánu 23.	23 september
Čakčamánu 22.	22 september
Čakčamánu 24.	24 september
Čakčamánu 21.	21 september
Čakčamánu 20.	20 september
Čakčamánu 18.	18 september
Čakčamánu 17.	17 september
Čakčamánu 19.	19 september
Čakčamánu 16.	16 september
Quito	Quito
Juovlamánu 30.	30 december
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Juovlamánu 31.	31 december
Golggotmánu 1.	1 oktober
Golggotmánu 15.	15 oktober
Golggotmánu 12.	12 oktober
Golggotmánu 10.	10 oktober
Golggotmánu 14.	14 oktober
Golggotmánu 9.	9 oktober
Golggotmánu 8.	8 oktober
Golggotmánu 13.	13 oktober
Golggotmánu 7.	7 oktober
Golggotmánu 11.	11 oktober
Golggotmánu 6.	6 oktober
Golggotmánu 4.	4 oktober
Golggotmánu 5.	5 oktober
Golggotmánu 3.	3 oktober
Golggotmánu 2.	2 oktober
Golggotmánu 31.	31 oktober
Golggotmánu 30.	30 oktober
Golggotmánu 29.	29 oktober
Golggotmánu 28.	28 oktober
Golggotmánu 26.	26 oktober
Golggotmánu 25.	25 oktober
Golggotmánu 24.	24 oktober
Golggotmánu 27.	27 oktober
Golggotmánu 22.	22 oktober
Golggotmánu 23.	23 oktober
Golggotmánu 20.	20 oktober
Golggotmánu 21.	21 oktober
Golggotmánu 19.	19 oktober
Golggotmánu 17.	17 oktober
Golggotmánu 16.	16 oktober
Golggotmánu 18.	18 oktober
Skábmamánu 15.	15 november
Skábmamánu 14.	14 november
Skábmamánu 13.	13 november
Skábmamánu 12.	12 november
Skábmamánu 11.	11 november
Skábmamánu 10.	10 november
Skábmamánu 7.	7 november
Skábmamánu 8.	8 november
Skábmamánu 9.	9 november
Skábmamánu 6.	6 november
Skábmamánu 5.	5 november
Skábmamánu 4.	4 november
Skábmamánu 3.	3 november
Skábmamánu 2.	2 november
Skábmamánu 1.	1 november
Skábmamánu 30.	30 november
Skábmamánu 29.	29 november
Skábmamánu 28.	28 november
Skábmamánu 27.	27 november
Skábmamánu 26.	26 november
Skábmamánu 25.	25 november
Skábmamánu 23.	23 november
Skábmamánu 24.	24 november
Skábmamánu 21.	21 november
Skábmamánu 20.	20 november
Skábmamánu 22.	22 november
Skábmamánu 19.	19 november
Skábmamánu 18.	18 november
Skábmamánu 17.	17 november
Skábmamánu 16.	16 november
Kathmandu	Katmandu
Belmopan	Belmopan
Loire-Atlantique	Loire-Atlantique
San José	San José, Costa Rica
Ain	Ain
Aisne	Aisne
Vosges	Vosges (departement)
Allier (departemeanta)	Allier (departement)
Hautes-Alpes	Hautes-Alpes
Orjol oblast	Orjol oblast
Sydney	Sydney
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Ardèche	Ardèche
Ardennes	Ardennes
Kursk oblast	Kursk oblast
Ariège	Ariège
Aube	Aube
Aude	Aude
Aveyron	Aveyron
Bouches-du-Rhône	Bouches-du-Rhône
Charente	Charente (departement)
Managua	Managua
Charente-Maritime	Charente-Maritime
Panama gávpot	Panama City
Corrèze	Corrèze
Belgorod oblast	Belgorod oblast
Haute-Corse	Haute-Corse
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d’Or
Côtes-d'Armor	Côtes-d'Armor
Creuse	Creuse
Dordogne	Dordogne
Doubs	Doubs
Drôme	Drôme
Essonne	Essonne
Eure	Eure
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Voronezj oblast	Voronezj oblast
Lipetsk oblast	Lipetsk oblast
Tambov oblast	Tambov oblast
Rostov oblast	Rostov oblast
Teheran	Teheran
Ankara	Ankara
Niamey	Niamey
1961	1961
Belgrad	Belgrad
Adygeia	Adygeiska republiken
Kategoriija:Mállet	Kategori:Mallar
1960	1960
Frankriikka Guayana	Franska Guyana
Volgograd oblast	Volgograd oblast
Nikosia	Nicosia
