Afrik	Afrika
Japon	Japan
Amerik disid	Sydamerika
Nòvèj	Norge
Angletè	England
Ekòs	Skottland
Gal	Wales
Ilann dinò	Nordirland
Ilann	Irland
Ongri	Ungern
Espay	Spanien
Etazini	USA
Bèljik	Belgien
Liksanbou (peyi)	Luxemburg
Linivè	Universum
Latè	Jorden
Lavi	Liv
Lanmò	Döden
Homo sapiens	Människa
George Washington	George Washington
Fenlann	Finland
Syèd	Sverige
Danmak	Danmark
Polòy	Polen
Lityani	Litauen
Itali	Italien
Swis	Schweiz
Otrich	Österrike
Grès	Grekland
Tiki	Turkiet
Byè	Öl
Pòtigal	Portugal
Ewòp	Europa
Azi	Asien
Amerik dinò	Nordamerika
Antatik (kontinan)	Antarktis
Wikipedya	Wikipedia
Peyiba	Nederländerna
Nouyòk	New York
Wachintòn	Washington, D.C.
San Francisco, Kalifòni	San Francisco
Bèlen	Berlin
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Dator
Bèn	Bern
Zirik	Zürich
Entènet	Internet
Barack Obama	Barack Obama
Irigwe	Uruguay
Lonn	London
Li Kè	Kairo
Alexandria, Vijini	Alexandria, Virginia
Pòm	Äpple
Pari	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Meksik	Mexiko
Atlantik	Atlanten
Pasifik	Stilla havet
Kalifòni	Kalifornien
Boston, Massachusetts	Boston
Lendi	Måndag
Janvye	Januari
Fevriye	Februari
Mas (mwa)	Mars (månad)
Mas (planèt)	Mars (planet)
Kenya	Kenya
Etyopi	Etiopien
Gana	Ghana
Avril	April
Me	Maj
Jen	Juni
Jiyè	Juli
Out	Augusti
Septanm	September
Oktòb	Oktober
Novanm	November
Desanm	December
Madi	Tisdag
Mèkredi	Onsdag
Jedi	Torsdag
Vandredi	Fredag
Samdi	Lördag
Dimanch	Söndag
Lyon	Lejon
Frans	Frankrike
Chen	Hund
Wayòm Ini	Storbritannien
Chat	Katt
Lang franse	Franska
Pwason	Fiskar
Brezil	Brasilien
Alkòl	Alkoholer
Risi	Ryssland
Balèn	Valar
Kare	Kvadrat
Lanmè	Hav
Pi (matematik)	Pi
Π	Pi (bokstav)
Alabama	Alabama
São Paolo	São Paulo
Kebèk	Québec
Almay	Tyskland
Byelorisi	Vitryssland
Alman	Tyska
Islann	Island
Bondye	Gud
Estoni	Estland
Satin	Saturnus
Seriz	Körsbär
Avyon	Flygplan
Lagè	Krig
1 (nonm)	1 (tal)
2 (nonm)	2 (tal)
3 (nonm)	3 (tal)
4 (nonm)	4 (tal)
5 (nonm)	5 (tal)
0 (nonm)	0 (tal)
Rektang	Rektangel
Letoni	Lettland
Ikrèn	Ukraina
Tchèki	Tjeckien
Slovaki	Slovakien
Sloveni	Slovenien
Vilnis	Vilnius
Moldavi	Moldavien
Woumani	Rumänien
Bilgari	Bulgarien
Ròm	Rom
Repiblik d Masedoni	Makedonien
Albani	Albanien
Kroasi	Kroatien
Bosni ak Erzegovin	Bosnien och Hercegovina
Azerbaydjan	Azerbajdzjan
Andora	Andorra
Chip	Cypern
Jeoji	Georgien
Kazakstan	Kazakstan
Malt	Malta
Monako (kapital)	Monaco
Montenegwo	Montenegro
Vatikan	Vatikanstaten
Sen Maren (peyi)	San Marino
Briksèl	Bryssel (region)
Kiba	Kuba
Beliz	Belize
Lababad	Barbados
Java	Java (programspråk)
Endonezi	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	Sydafrika
Aljeri	Algeriet
Ouzbekistan	Uzbekistan
Tachkènt	Tasjkent
Vasovi	Warszawa
Diven	Vin
Dlo	Vatten
Kwi	Läder
Bwa	Trä
Chili	Chile
Jezi	Jesus
Galileo Galilei	Galileo Galilei
Mèki (planèt)	Merkurius
Istwa	Historia
Apple	Apple Inc.
Venis (planèt)	Venus
Lang (pawòl)	Språk
Galaksi	Galax
Jipitè (planèt)	Jupiter
Teyori big-bang	Big Bang
Iranis	Uranus
Neptin (planèt)	Neptunus
Astwonomi	Astronomi
Sengapou (peyi)	Singapore
Syans	Vetenskap
Pliton	Pluto
Monreyal (komin)	Montréal
Avni	Framtid
Lichtènstayn	Liechtenstein
Espò (divètisman)	Sport
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu
Skopje	Skopje
Linux	Linux
Matematik	Matematik
Barayn	Bahrain
Ameni	Armenien
Sèbi	Serbien
Lalin	Månen
Istanboul	Istanbul
Ostrali	Australien
Bob Marley	Bob Marley
Fizik	Fysik
Ajantin	Argentina
Telekominikasyon	Telekommunikation
Pewou	Peru
Biyoloji	Biologi
Kore dinò	Nordkorea
Kanbòdj	Kambodja
Dinozò	Dinosaurier
Islamis	Islam
Lyoubyana	Ljubljana
Etid plant	Botanik
Rou	Hjul
Lapè	Fred
Lyon (vil)	Lyon
Inyon Ewopeyèn	Europeiska unionen
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Fanm	Kvinna
Sofia	Sofia
Zanmi	Vänskap
Anis (anatomi)	Analöppning
Sitron	Citron
Bannann	Banan
666 (almanak jilyen)	666
Flè	Blomma
Vil	Stad
Napoléon Bonaparte	Napoleon I
Etwal	Stjärna
Solèy	Solen
Syèl	Himmel
Ane-limyè	Ljusår
Victor Hugo	Victor Hugo
Oseyani	Oceanien
Atletis	Friidrott
Sistèm solè	Solsystemet
Idwojèn	Väte
Elyòm	Helium
Lityòm	Litium
Berilyòm	Beryllium
Liv (pou li)	Bok
Jou (Tan)	Dygn
Timò oryantal	Östtimor
Nwit	Natt
Lane	År
Syèk	Sekel
Oslo	Oslo
Twou nwa	Svart hål
Lisbòn	Lissabon
Ichiro Suzuki	Ichiro Suzuki
Kabòn	Kol
Azòt	Kväve
Oksijèn	Syre
Planèt	Planet
Mizik	Musik
Tèmomèt	Termometer
Moskou	Moskva
Fliyò	Fluor
Neyon	Neon
Saint-Pétersbourg	Sankt Petersburg
Tchad	Tchad
Sodyòm	Natrium
Nò	Norr
Manyezyòm	Magnesium
Aliminyòm	Aluminium
Nouvèl Zelann	Nya Zeeland
Sid	Söder
End	Indien
Silisyòm	Kisel
Fransyòm	Francium
Touvalou	Tuvalu
Fosfò	Fosfor
André-Marie Ampère	André-Marie Ampère
Fè	Järn
Tonga	Tonga
Lwès	Väster
Alessandro Volta	Alessandro Volta
Souf	Svavel
Samoa	Samoa
Lès	Öster
Salomon	Salomonöarna
Vanwatou	Vanuatu
Molière	Molière
Klò	Klor
Papwazi-Nouvèl-Gine	Papua Nya Guinea
William Shakespeare	William Shakespeare
Palao	Palau
Agon	Argon
Naorou	Nauru
Mikwonezi (peyi)	Mikronesiens federerade stater
Potasyòm	Kalium
Kalsyòm	Kalcium
Plon	Bly
Machal	Marshallöarna
Kiribès	Kiribati
Mongoli	Mongoliet
Fidji	Fiji
Skandyòm	Skandium
Titàn	Titan
Venezwela	Venezuela
Echèk	Schack
Vanadyòm	Vanadin
Mèn	Maine
Kwòm	Krom
Cheval	Häst
Amstèdam	Amsterdam
Zam	Vapen
Zannimo	Djur
Sirinam	Surinam
Manganèz	Mangan
Paragwe	Paraguay
Giyàn	Guyana
La (aktivite)	Konst
Ekwatè (peyi)	Ecuador
Kolonbi	Colombia
Nikèl	Nickel
Frèz	Smultronsläktet
Boudis	Buddhism
Bolivi	Bolivia
Kwiv	Koppar
Trinidad ak Tobago	Trinidad och Tobago
Plant	Växt
Sen Vensan ak Grenadin	Saint Vincent och Grenadinerna
Zenk	Zink
Nou Anpchi	New Hampshire
Sent Lisi	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	Saint Kitts och Nevis
Chanpiyon	Svampar
Jamayik	Jamaica
Grenad	Grenada
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	Bahamas
Konèktikòt	Connecticut
Antigwa ak Babouda	Antigua och Barbuda
Awayi	Hawaii
Ondiras	Honduras
Dominik	Dominica
Dominikani	Dominikanska republiken
Kochon	Gris
Aktik	Norra ishavet
Ayiti	Haiti
Salvadò	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Kostarika	Costa Rica
Izrayèl	Israel
Panama (peyi)	Panama
Yemèn	Jemen
Viris	Virus
Jòdani	Jordanien
Nikaragwa	Nicaragua
Florid	Florida
Kirgistan	Kirgizistan
Arizona	Arizona
Kowet	Kuwait
Laos	Laos
Liban	Libanon
Oregon	Oregon
Maldiv	Maldiverna
Amerik	Amerika
Youta	Utah
Malezi	Malaysia
Bimani	Burma
Nepal	Nepal
Omàn	Oman
Pakistan	Pakistan
Katar	Qatar
Tenis	Tennis
Arabi Sawoudit	Saudiarabien
Srilanka	Sri Lanka
Siri	Syrien
Platon	Platon
Galyòm	Gallium
Tadjikistan	Tadzjikistan
Jèmanyòm	Germanium
Aristotle	Aristoteles
Tayilann	Thailand
Asenik	Arsenik
Tirkmenistan	Turkmenistan
Selenyòm	Selen
Iridyòm	Iridium
Emira Arab Ini	Förenade Arabemiraten
Bwòm	Brom
Platin	Platina
Vyetnam	Vietnam
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Sydkorea
Les Simpson	Simpsons
Kripton	Krypton
Afganistan	Afghanistan
Lò	Guld
Bangladèch	Bangladesh
Mali	Mali
Angola	Angola
Boutan	Bhutan
Brouney	Brunei
Tanzani	Tanzania
Mèki (eleman chimik)	Kvicksilver
Filipin	Filippinerna
Repiblik santafrik	Centralafrikanska republiken
Talyòm	Tallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Strontium
Nakotik	Narkotika
Bismit	Vismut
Jòn	Gul
Togo	Togo
Donald Tusk	Donald Tusk
Tinizi	Tunisien
John Bardeen	John Bardeen
Zanbi	Zambia
Zimbabwe	Zimbabwe
Peken	Peking
Benen	Benin
Botswana	Botswana
Boukinafaso	Burkina Faso
Bouroundi	Burundi
Komò	Komorerna
Kongo (Brazavil)	Kongo-Brazzaville
Kongo (Kinchasa)	Kongo-Kinshasa
San Antonio (Teksas)	San Antonio
Djibouti (peyi)	Djibouti
Polonyòm	Polonium
Gine ekwateryal	Ekvatorialguinea
Eritre	Eritrea
Niou Deli	New Delhi
Tbilisi	Tbilisi
Andrei Dmitrievich Sakharov	Andrej Sacharov
Gabon	Gabon
Mohandas Karamchand Gandhi	Mahatma Gandhi
Ganbi	Gambia
Gine	Guinea
Gine-Bisao	Guinea-Bissau
Kòt divwa	Elfenbenskusten
Kamewoun	Kamerun
Kap Vè	Kap Verde
Lezoto	Lesotho
Liberya	Liberia
Libi	Libyen
Madagaskar	Madagaskar
Malawi	Malawi
