ఆఫ్రికా	Afrika
జపాన్	Japan
దక్షిణ అమెరికా	Sydamerika
నార్వే	Norge
ఇంగ్లాండు	England
స్కాట్లాండ్	Skottland
వేల్స్	Wales
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	Irland
హంగేరి	Ungern
స్పెయిన్	Spanien
అమెరికా సంయుక్త రాష్ట్రాలు	USA
బెల్జియం	Belgien
విశ్వం	Universum
భూమి	Jorden
జీవం	Liv
మరణం	Döden
మానవుడు	Människa
సంతోషం	Lycka
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finland
స్వీడన్	Sverige
డెన్మార్క్	Danmark
పోలాండ్	Polen
లిథువేనియా	Litauen
ఇటలీ	Italien
స్విట్జర్లాండ్	Schweiz
ఆస్ట్రియా	Österrike
గ్రీస్	Grekland
టర్కీ	Turkiet
బీరు	Öl
పోర్చుగల్	Portugal
ఐరోపా	Europa
ఆసియా	Asien
ఉత్తర అమెరికా	Nordamerika
అంటార్కిటికా	Antarktis
వికీపీడియా	Wikipedia
నెదర్లాండ్స్	Nederländerna
శిశ్నము	Penis
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	New York
వాషింగ్టన్, డి.సి.	Washington, D.C.
శాన్ ఫ్రాన్సిస్కో	San Francisco
బెర్లిన్	Berlin
లాస్ ఏంజలెస్	Los Angeles
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Dator
ఇంటర్నెట్	Internet
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Skrivare
మీడియావికీ	Mediawiki
లండన్	London
కైరో	Kairo
తలనొప్పి	Huvudvärk
అలెగ్జాండ్రియా	Alexandria
ఆపిల్	Äpple
పారిస్	Paris
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android (operativsystem)
గూగుల్	Google
మెక్సికో	Mexiko
అట్లాంటిక్ మహాసముద్రం	Atlanten
పసిఫిక్ మహాసముద్రం	Stilla havet
కాలిఫోర్నియా	Kalifornien
బోస్టన్	Boston
సోమవారము	Måndag
అంతరిక్షం	Rum (fysik)
జనవరి	Januari
ఫిబ్రవరి	Februari
మార్చి	Mars (månad)
అంగారకుడు	Mars (planet)
కెన్యా	Kenya
ఇథియోపియా	Etiopien
ఘనా	Ghana
ఏప్రిల్	April
మే	Maj
జూన్	Juni
జూలై	Juli
ఆగష్టు	Augusti
సెప్టెంబర్	September
అక్టోబర్	Oktober
నవంబర్	November
డిసెంబర్	December
మంగళవారము	Tisdag
బుధవారము	Onsdag
గురువారము	Torsdag
శుక్రవారము	Fredag
శనివారము	Lördag
ఆదివారము	Söndag
సింహం	Lejon
ఫ్రాన్స్	Frankrike
కుక్క	Hund
యునైటెడ్ కింగ్‌డమ్	Storbritannien
పిల్లి	Katt
చైనా	Kina
ఫ్రెంచి భాష	Franska
చేప	Fiskar
బ్రెజిల్	Brasilien
ఆల్కహాలు	Alkoholer
రష్యా	Ryssland
ఆప్టికల్ ఫైబర్	Fiberoptik
సముద్రం	Hav
నల్ల సముద్రం	Svarta havet
పై	Pi
వికీ	Wiki
టొరంటో	Toronto
అలబామా	Alabama
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Wikimedia Foundation
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Tyskland
బెలారస్	Vitryssland
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	Tyska
ఐస్‌లాండ్	Island
దేవుడు	Gud
ఎస్టోనియా	Estland
చాక్లెట్	Choklad
విమానం	Flygplan
యుద్ధం	Krig
ఒకటి	1 (tal)
రెండు	2 (tal)
మూడు	3 (tal)
నాలుగు	4 (tal)
సున్న	0 (tal)
దీర్ఘ చతురస్రం	Rektangel
లాట్వియా	Lettland
ఉక్రెయిన్	Ukraina
చెక్ రిపబ్లిక్	Tjeckien
స్లోవేనియా	Slovenien
మోల్డోవా	Moldavien
రొమేనియా	Rumänien
బల్గేరియా	Bulgarien
రోమ్	Rom
మేసిడోనియా	Makedonien
అల్బేనియా	Albanien
గ్రీన్‌లాండ్	Grönland
క్రొయేషియా	Kroatien
బోస్నియా మరియు హెర్జెగొవీనా	Bosnien och Hercegovina
అజర్‌బైజాన్	Azerbajdzjan
అండొర్రా	Andorra
సైప్రస్	Cypern
జార్జియా (దేశం)	Georgien
కజకస్తాన్	Kazakstan
మొనాకో	Monaco
వాటికన్ నగరం	Vatikanstaten
క్యూబా	Kuba
బెలిజ్	Belize
ఈఫిల్ టవర్	Eiffeltornet
బార్బడోస్	Barbados
రాసబెర్రి పై	Raspberry Pi
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel
కంప్యూటర్ కీబోర్డ్	Tangentbord
జావా	Java (programspråk)
ఇండోనేషియా	Indonesien
మేండెల్‌బ్రాట్ సెట్	Mandelbrotmängden
దక్షిణ ఆఫ్రికా	Sydafrika
అల్జీరియా	Algeriet
ఉజ్బెకిస్తాన్	Uzbekistan
డ్రోసిరా	Sileshårssläktet
తాష్కెంట్	Tasjkent
నీరు	Vatten
చెక్క	Trä
టెలివిజన్	Television
లింగ భేదం	Kön
చిలీ	Chile
యేసు	Jesus
శారీరక దండన	Kroppsstraff
గెలీలియో గెలీలి	Galileo Galilei
బుధుడు	Merkurius
చరిత్ర	Historia
యాపిల్ ఇన్‌కార్పొరేషన్	Apple Inc.
శుక్రుడు	Venus
భాష	Språk
ప్రేమ	Kärlek
నియంతృత్వం	Diktatur
గేలక్సీ	Galax
గురుడు	Jupiter
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Vintergatan
మహా విస్ఫోటం	Big Bang
యురేనస్	Uranus
ఆంగ్ల వికీపీడియా	Engelskspråkiga Wikipedia
నెప్ట్యూన్	Neptunus
ఖగోళ శాస్త్రము	Astronomi
సింగపూరు	Singapore
విజ్ఞానశాస్త్రం	Vetenskap
ప్లూటో	Pluto
మాంట్రియల్	Montréal
కాలము	Framtid
మరియమ్	Jungfru Maria
ఆటలు	Sport
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google Plus
వికీలీక్స్	Wikileaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Första världskriget
రెండవ ప్రపంచ యుద్ధం	Andra världskriget
కొలోన్	Köln
లంచం	Korruption
వికీబుక్స్	Wikibooks
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu
లినక్స్	Linux
బాబ్ డైలాన్	Bob Dylan
గణితము	Matematik
లాటిన్	Latin
బహ్రయిన్	Bahrain
ఆర్మేనియా	Armenien
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Serbien
చంద్రుడు	Månen
ఇస్తాంబుల్	Istanbul
ఆస్ట్రేలియా	Australien
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Fysik
అర్జెంటీనా	Argentina
పెరూ	Peru
జీవ శాస్త్రము	Biologi
గుర్తించబడని ఎగురుతున్న వస్తువు	Ufo
ఉత్తర కొరియా	Nordkorea
కంబోడియా	Kambodja
క్యూపర్ బెల్ట్	Kuiperbältet
ఖోరాన్	Koranen
రాక్షసబల్లి	Dinosaurier
జంతుశాస్త్రం	Zoologi
ఇస్లాం మతం	Islam
వృక్షశాస్త్రం	Botanik
లెక్ వలీసా	Lech Wałęsa
చక్రం	Hjul
శాంతి	Fred
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopædia Britannica
ఐరోపా సమాఖ్య	Europeiska unionen
వరల్డ్ వైడ్ వెబ్	World Wide Web
స్త్రీ	Kvinna
కవి	Poesi
కంప్యూటర్ వైరస్	Datorvirus
నవ్వు	Leende
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Atombomberna över Hiroshima och Nagasaki
మిలన్	Milano
మిత్రుడు	Vänskap
మలము	Avföring
గుదము	Analöppning
చంక	Armhåla
నిమ్మ	Citron
అరటి	Banan
పుష్పము	Blomma
గూగోల్	Googol
ఎవరెస్టు పర్వతం	Mount Everest
శరీర నిర్మాణ శాస్త్రము	Anatomi
నగరము	Stad
నెపోలియన్	Napoleon I
శరీరశాస్త్రం	Fysiologi
నక్షత్రము (ఖగోళశాస్త్రం)	Stjärna
సూర్యుడు	Solen
ఆకాశం	Himmel
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Ljusår
గ్రామం	By
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oceanien
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Solsystemet
హైడ్రోజన్	Väte
హీలియం	Helium
నరకం	Helvete
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Litium
బెరీలియం	Beryllium
పుస్తకము	Bok
తూర్పు తైమూర్	Östtimor
రాత్రి	Natt
సంవత్సరము	År
కృష్ణబిలం	Svart hål
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (dvärgplanet)
లిస్బన్	Lissabon
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eris (dvärgplanet)
దుబాయ్	Dubai
బోరాన్	Bor
నికోలాస్ కోపర్నికస్	Nicolaus Copernicus
కార్బన్	Kol
నత్రజని	Kväve
ఆక్సిజన్	Syre
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	FC Internazionale Milano
గ్రహం	Planet
క్లియోపాత్రా	Kleopatra VII av Egypten
భారతీయ సంగీతము	Musik
వెనిస్	Venedig
ఉష్ణమాపకం	Termometer
మాస్కో	Moskva
ఫ్లోరిన్	Fluor
చువావా (కుక్క)	Chihuahua (hundras)
నియాన్	Neon
సెయింట్ పీటర్స్‌బర్గ్	Sankt Petersburg
చాద్	Tchad
సోడియం	Natrium
ఉత్తరం	Norr
మెగ్నీషియం	Magnesium
అల్యూమినియం	Aluminium
న్యూజీలాండ్	Nya Zeeland
దక్షిణం	Söder
భారత దేశము	Indien
సిలికాన్	Kisel
భాస్వరము	Fosfor
ఇనుము	Järn
పడమర	Väster
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Svavel
సమోవా	Samoa
తూర్పు	Öster
సోలమన్ దీవులు	Salomonöarna
వనాటు	Vanuatu
క్లోరిన్	Klor
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Kalium
కాల్షియమ్	Kalcium
సీసము (మూలకము)	Bly
కిరిబటి	Kiribati
మంగోలియా	Mongoliet
ఫిజీ	Fiji
స్కాండియం	Skandium
టైటానియం	Titan
వెనుజులా	Venezuela
చదరంగం (ఆట)	Schack
చెంఘీజ్ ఖాన్	Djingis khan
వెనేడియం	Vanadin
మెయిన్	Maine
క్రోమియం	Krom
గుర్రము	Häst
ఆయుధం	Vapen
జంతువు	Djur
సురినామ్	Surinam
మాంగనీస్	Mangan
గయానా	Guyana
ఈక్వడార్	Ecuador
కొలంబియా	Colombia
కోబాల్ట్	Kobolt
నికెల్	Nickel
బౌద్ధ మతము	Buddhism
బొలీవియా	Bolivia
ఓస్మియం	Osmium
రాగి	Koppar
ట్రినిడాడ్ మరియు టొబాగో	Trinidad och Tobago
మొక్క	Växt
తుత్తునాగము	Zink
న్యూహాంప్‌షైర్	New Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Svampar
జమైకా	Jamaica
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahamas
కనెక్టికట్	Connecticut
కోడి	Tamhöna
ఆంటిగ్వా మరియు బార్బుడా	Antigua och Barbuda
హవాయి	Hawaii
హోండురాస్	Honduras
జెర్సీ	Jersey
డొమెనికన్ రిపబ్లిక్	Dominikanska republiken
పంది	Gris
ఆర్క్‌టిక్ మహాసముద్రం	Norra ishavet
ఇరాన్	Iran
ఇరాక్	Irak
అలాస్కా	Alaska
వివేకం	Visdom
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israel
పనామా	Panama
యెమన్	Jemen
వైరస్	Virus
జోర్డాన్	Jordanien
ఫ్లోరిడా	Florida
కిర్గిజిస్తాన్	Kirgizistan
ఆరిజోనా	Arizona
కువైట్	Kuwait
లావోస్	Laos
లెబనాన్	Libanon
ఓరెగాన్	Oregon
మాల్దీవులు	Maldiverna
యూటా	Utah
పశువు	Nötkreatur
మలేషియా	Malaysia
మయన్మార్	Burma
నేపాల్	Nepal
ఒమన్	Oman
పాకిస్తాన్	Pakistan
‌జేమ్స్ బాండ్	James Bond
కతర్	Qatar
టెన్నిస్	Tennis
సౌదీ అరేబియా	Saudiarabien
శ్రీలంక	Sri Lanka
స్టాలిన్	Josef Stalin
బార్‌కోడ్	Streckkod
సిరియా	Syrien
ప్లేటో	Platon
గాలియం	Gallium
తజికిస్తాన్	Tadzjikistan
తైవాన్	Taiwan
యూ ట్యూబ్	Youtube
జెర్మేనియం	Germanium
అరిస్టాటిల్	Aristoteles
థాయిలాండ్	Thailand
రైలు	Tåg
ఆర్సెనిక్	Arsenik
రేడియో	Radio
తుర్కమేనిస్తాన్	Turkmenistan
సెలీనియం	Selen
యునైటెడ్ అరబ్ ఎమిరేట్స్	Förenade Arabemiraten
బ్రోమిన్	Brom
వియత్నాం	Vietnam
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Sydkorea
ఆఫ్ఘనిస్తాన్	Afghanistan
బంగారం	Guld
సూయజ్ కాలువ	Suezkanalen
శాస్త్రవేత్త	Vetenskapsman
బంగ్లాదేశ్	Bangladesh
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Sokrates
అంగోలా	Angola
భూటాన్	Bhutan
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tanzania
ఫిలిప్పీన్స్	Filippinerna
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Centralafrikanska republiken
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Strontium
పసుపు (రంగు)	Gul
ట్యునీషియా	Tunisien
జాంబియా	Zambia
జింబాబ్వే	Zimbabwe
బీజింగ్	Peking
దక్షిణ సూడాన్	Sydsudan
బెనిన్	Benin
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Komorerna
కాంగో రిపబ్లిక్	Kongo-Brazzaville
శాన్ అంటోనియో	San Antonio
జిబౌటి	Djibouti
బవేరియా	Bayern
ఎరిత్రియా	Eritrea
క్రొత్త ఢిల్లీ	New Delhi
దాస్తొయెవ్‌స్కీ	Fjodor Dostojevskij
శిశువు	Spädbarn
గబాన్	Gabon
మహాత్మా గాంధీ	Mahatma Gandhi
కామిక్స్	Tecknad serie
గాంబియా	Gambia
కోటె డి ఐవొరి	Elfenbenskusten
కామెరూన్	Kamerun
కేప్ వర్దె	Kap Verde
లిబియా	Libyen
మడగాస్కర్	Madagaskar
మౌరిటానియ	Mauretanien
మారిషస్	Mauritius
మొరాకో	Marocko
మొజాంబిక్	Moçambique
నమీబియా	Namibia
నైజర్	Niger
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Uganda
రువాండా	Rwanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carl von Linné
సొమాలియా	Somalia
నియోబియం	Niob
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Julius Caesar
సూడాన్	Sudan
ఇంద్రధనస్సు	Regnbåge
టెక్నీషియం	Teknetium
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Immunförsvar
గుజరాత్	Gujarat
పరిణామం	Evolution
ఐక్యరాజ్య సమితి	Förenta nationerna
భూగోళ శాస్త్రము	Geografi
గుండె	Hjärta
మెదడు	Hjärna
చర్మము	Hud
రంగు	Färg
నామవాచకం	Substantiv
నీలము	Blå
వెండి	Silver
కాడ్మియం	Kadmium
తగరము	Tenn
అయోడిన్	Jod
సీసియం	Cesium
విద్యుద్భరితము	Elektrisk laddning
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Bombay
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu och Kashmir
ఫ్యూర్టో రికో	Puerto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	North Dakota
సౌత్ డకోటా	South Dakota
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jerusalem
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Indiska oceanen
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Coloradofloden
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Kategori:Topp
ఆల్ప్స్ పర్వతాలు	Alperna
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Vinter
వేసవి కాలం	Sommar
విషువత్తు	Dagjämning
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Usama bin Ladin
స్పానిష్ భాష	Spanska
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Philadelphia
కోల్‌కత	Calcutta
చెన్నై	Chennai
ఢిల్లీ	Delhi
ఢాకా	Dhaka
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	Västbengalen
సాలెపురుగు	Spindlar
ఆర్థ్రోపోడా	Leddjur
హైదరాబాదు	Hyderabad
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Frukt
ధనం	Pengar
వర్జీనియా	Virginia
పశ్చిమ వర్జీనియా	West Virginia
న్యూయార్క్ రాష్ట్రం	New York (delstat)
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insekter
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Vladimir Lenin
ఒహాయో	Ohio
మాకియవెలీ	Niccolò Machiavelli
పెన్సిల్వేనియా	Pennsylvania
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Augustus
విండోస్	Microsoft Windows
న్యూజెర్సీ	New Jersey
నీరో	Nero
ఇండియానా	Indiana
నోకియా	Nokia
కారు	Bil
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgia
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rajasthan
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	North Carolina
మైదాన హాకీ	Landhockey
సౌత్ కెరొలినా	South Carolina
సిసిలీ	Sicilien
మనీలా	Manila
సార్డీనియా	Sardinien
క్రోన్స్ వ్యాధి	Crohns sjukdom
టోక్యో	Tokyo prefektur
అనాస	Ananas
మిసిసిపీ	Mississippi
మిసిసిపీ నది	Mississippifloden
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Bassäng
మిజోరాం	Mizoram
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	New Mexico
ఏథెన్స్	Aten
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Hindi
మరాఠీ భాష	Marathi
పొగ చుట్ట	Cigarr
సిగరెట్	Cigarett
వినాయకుడు	Ganesha
మిస్సోరీ	Missouri
లూసియానా	Louisiana
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urdu
ఓక్లహోమా	Oklahoma
డానుబే	Donau
వాలీబాల్	Volleyboll
వియన్నా	Wien
కోపెన్‌హాగన్	Köpenhamn
స్టాక్‌హోమ్	Stockholm
కొచ్చి	Kochi, Kerala
బైబిల్	Bibeln
నిజ ఏసుక్రీస్తు మండలి	The True Jesus Church
ఆంగ్ల భాష	Engelska
బ్యాంకాక్	Bangkok
క్యివ్	Kiev
అంటారియో	Ontario
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formel 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Koldioxid
2013	2013
2008	2008
జావాస్క్రిప్టు	Javascript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florens
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Mat
పాము	Ormar
XML	XML
నోటితో రతి	Oralsex
న్యూట్రినో	Neutrino
సన్ గోకు (డ్రాగన్ బాల్)	Son-Goku
జనవరి 1	1 januari
జనవరి 2	2 januari
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	3 januari
1919	1919
1921	1921
1922	1922
జనవరి 4	4 januari
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Asteroidbältet
గిఫ్	GIF
మరుగుజ్జు గ్రహం	Dvärgplanet
జనవరి 5	5 januari
జనవరి 6	6 januari
ఎలక్ట్రాన్	Elektron
జనవరి 7	7 januari
జనవరి 8	8 januari
జనవరి 9	9 januari
జనవరి 10	10 januari
జనవరి 11	11 januari
జనవరి 12	12 januari
జనవరి 13	13 januari
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14 januari
జనవరి 15	15 januari
జనవరి 16	16 januari
జనవరి 17	17 januari
జనవరి 18	18 januari
జనవరి 19	19 januari
జనవరి 20	20 januari
పారిశ్రామిక విప్లవం	Industriella revolutionen
జనవరి 21	21 januari
జనవరి 22	22 januari
జనవరి 23	23 januari
జనవరి 24	24 januari
జనవరి 25	25 januari
జనవరి 26	26 januari
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27 januari
జనవరి 28	28 januari
జనవరి 29	29 januari
జనవరి 30	30 januari
జనవరి 31	31 januari
ప్రోటాన్	Proton
డిసెంబర్ 2	2 december
డిసెంబర్ 1	1 december
డిసెంబర్ 3	3 december
డిసెంబర్ 7	7 december
డిసెంబర్ 5	5 december
డిసెంబర్ 8	8 december
డిసెంబర్ 10	10 december
డిసెంబర్ 6	6 december
డిసెంబర్ 9	9 december
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4 december
ఫిబ్రవరి 1	1 februari
ఫిబ్రవరి 2	2 februari
ఫిబ్రవరి 3	3 februari
కురోవ్	Kurów
ఫిబ్రవరి 4	4 februari
ఫిబ్రవరి 5	5 februari
ఫిబ్రవరి 6	6 februari
ఫిబ్రవరి 7	7 februari
ఫిబ్రవరి 8	8 februari
ఫిబ్రవరి 9	9 februari
ఫిబ్రవరి 10	10 februari
రసాయన శాస్త్రము	Kemi
ఫిబ్రవరి 14	14 februari
ఫిబ్రవరి 13	13 februari
ఫిబ్రవరి 15	15 februari
ఫిబ్రవరి 11	11 februari
ఫిబ్రవరి 12	12 februari
ఫిబ్రవరి 19	19 februari
ఫిబ్రవరి 17	17 februari
ఫిబ్రవరి 16	16 februari
ఫిబ్రవరి 18	18 februari
ఫిబ్రవరి 20	20 februari
12 యాంగ్రీ మెన్	12 edsvurna män
న్యూట్రాన్	Neutron
ఫిబ్రవరి 21	21 februari
ఫిబ్రవరి 22	22 februari
ఫిబ్రవరి 23	23 februari
ఫిబ్రవరి 24	24 februari
ఫిబ్రవరి 25	25 februari
ఫిబ్రవరి 26	26 februari
ఫిబ్రవరి 27	27 februari
ఫిబ్రవరి 28	28 februari
డిసెంబర్ 11	11 december
ఫిబ్రవరి 29	29 februari
డిసెంబర్ 12	12 december
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13 december
డిసెంబర్ 14	14 december
డిసెంబర్ 15	15 december
మార్చి 2	2 mars
మార్చి 3	3 mars
మార్చి 5	5 mars
మార్చి 1	1 mars
మార్చి 7	7 mars
మార్చి 8	8 mars
మార్చి 4	4 mars
మార్చి 10	10 mars
మార్చి 11	11 mars
మార్చి 6	6 mars
మార్చి 13	13 mars
మార్చి 9	9 mars
మార్చి 12	12 mars
మార్చి 15	15 mars
మార్చి 14	14 mars
డిసెంబర్ 16	16 december
డిసెంబర్ 17	17 december
మార్చి 16	16 mars
మార్చి 17	17 mars
మార్చి 18	18 mars
మార్చి 19	19 mars
1989	1989
1988	1988
మార్చి 20	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21 mars
1983	1983
మార్చి 22	22 mars
1982	1982
1981	1981
డిసెంబర్ 18	18 december
1980	1980
మార్చి 23	23 mars
డిసెంబర్ 19	19 december
మార్చి 24	24 mars
మార్చి 25	25 mars
డిసెంబర్ 20	20 december
మార్చి 26	26 mars
మార్చి 27	27 mars
మార్చి 28	28 mars
మార్చి 29	29 mars
మార్చి 30	30 mars
మార్చి 31	31 mars
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15 april
ఏప్రిల్ 13	13 april
ఏప్రిల్ 12	12 april
ఏప్రిల్ 14	14 april
ఏప్రిల్ 11	11 april
ఏప్రిల్ 10	10 april
ఏప్రిల్ 8	8 april
ఏప్రిల్ 9	9 april
ఏప్రిల్ 7	7 april
ఏప్రిల్ 6	6 april
ఏప్రిల్ 5	5 april
ఏప్రిల్ 4	4 april
ఏప్రిల్ 3	3 april
ఏప్రిల్ 1	1 april
ఏప్రిల్ 2	2 april
హబుల్ టెలీస్కోపు	Rymdteleskopet Hubble
ఏప్రిల్ 16	16 april
ఏప్రిల్ 17	17 april
ఏప్రిల్ 18	18 april
ఏప్రిల్ 19	19 april
ఏప్రిల్ 20	20 april
