Afraga	Afrika
An t-Seapan	Japan
Aimearaga a Deas	Sydamerika
Nirribhidh	Norge
Sasainn	England
Alba	Skottland
A' Chuimrigh	Wales
Èirinn a Tuath	Nordirland
Poblachd na h-Èireann	Irland
An Ungair	Ungern
An Spàinn	Spanien
Na Stàitean Aonaichte	USA
A' Bheilg	Belgien
Lucsamburg	Luxemburg
Saoghal	Jorden
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Suòmaidh	Finland
An t-Suain	Sverige
An Danmhairg	Danmark
A' Phòlainn	Polen
Liotuàinia	Litauen
An Eadailt	Italien
An Eilbheis	Schweiz
An Ostair	Österrike
A' Ghrèig	Grekland
An Tuirc	Turkiet
Leann	Öl
A' Phortagail	Portugal
An Roinn-Eòrpa	Europa
Àisia	Asien
Aimearaga a Tuath	Nordamerika
Antargtaga	Antarktis
Uicipeid	Wikipedia
Na Tìrean Ìsle	Nederländerna
Bod	Penis
Eabhraig Nuadh (baile)	New York
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Coimpiutair	Dator
Berne	Bern
Geneva	Genève
Zürich	Zürich
Eadar-lìon	Internet
Barack Obama	Barack Obama
Uruguaidh	Uruguay
Basel	Basel
Lunnainn	London
Cairo	Kairo
Alexandria, Virginia	Alexandria, Virginia
Ubhal	Äpple
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Meagsago	Mexiko
Cuan Siar	Atlanten
Cuan Sèimh	Stilla havet
Calafòrnia	Kalifornien
Boston, Massachusetts	Boston
Di-Luain	Måndag
Am Faoilleach	Januari
An Gearran	Februari
Am Màrt	Mars (månad)
Corg	Mars (planet)
A' Cheinia	Kenya
An Aetiòp	Etiopien
Gàna	Ghana
An Giblean	April
An Cèitean	Maj
An t-Ògmhios	Juni
An t-Iuchar	Juli
An Lùnastal	Augusti
An t-Sultain	September
An Dàmhair	Oktober
An t-Samhain	November
An Dùbhlachd	December
Di-Màirt	Tisdag
Di-Ciadain	Onsdag
Di-Ardaoin	Torsdag
Di-haoine	Fredag
Di-Sathairne	Lördag
Di-Dòmhnaich	Söndag
Leòmhann	Lejon
An Fhraing	Frankrike
Esperanto	Esperanto
Cù	Hund
An Rìoghachd Aonaichte	Storbritannien
Cat	Katt
Sluagh-Phoblachd na Sìne	Kina
Fraingis	Franska
Iasg	Fiskar
Braisil	Brasilien
Alcol	Alkoholer
François Hollande	François Hollande
An Ruis	Ryssland
Muc-mhara	Valar
Muir	Hav
Am Muir Dubh	Svarta havet
Pi	Pi (bokstav)
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Quebec	Québec
Pastà	Pasta
Wikimedia	Wikimedia Foundation
A' Ghearmailt	Tyskland
A' Bhealaruis	Vitryssland
Gearmailtis	Tyska
Innis Tìle	Island
Dia	Gud
Eastòinia	Estland
David Cameron	David Cameron
Satarn	Saturnus
Teòclaid	Choklad
Cogadh	Krig
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
An Laitbhe	Lettland
An Ucràin	Ukraina
An t-Seic	Tjeckien
An t-Slòbhac	Slovakien
Sloibhìnia	Slovenien
Vilnius	Vilnius
Moldàibhia	Moldavien
Romàinia	Rumänien
Bulgàiria	Bulgarien
An Ròimh	Rom
Masadoinia	Makedonien
Albàinia	Albanien
A' Ghraonlainn	Grönland
Poblachd na Cròthaise	Kroatien
Bosna agus Hearsagobhana	Bosnien och Hercegovina
Asarbaideàn	Azerbajdzjan
Andorra	Andorra
Cìopras	Cypern
A' Chairtbheil	Georgien
Casachstàn	Kazakstan
Malta	Malta
Monaco	Monaco
Am Monadh Neagrach	Montenegro
Cathair na Bhatacain	Vatikanstaten
San Marino	San Marino
A' Bhruiseal	Bryssel (kommun)
Cùba	Kuba
Beilise	Belize
Barbados	Barbados
An Innd-Innse	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turcais	Turkiska
Afraga a Deas	Sydafrika
Aildiria	Algeriet
Usbagastàn	Uzbekistan
Poznań	Poznań
Tashkent	Tasjkent
Warszawa	Warszawa
Ìle	Islay
Eurovision	Eurovision Song Contest
Talisker	Talisker
Uisge-beatha	Whisky
Fìon	Vin
Uisge	Vatten
Fiodh	Trä
Tours	Tours
Telebhisean	Television
An t-Sile	Chile
Ìosa Crìosd	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Mearcair	Merkurius
Eachdraidh	Historia
An Rìbhinn (planaid)	Venus
Cànan	Språk
Gràdh	Kärlek
