Aprika	Afrika
Hapon	Japan
Timog Amerika	Sydamerika
Noruwega	Norge
Inglatera	England
Scotland	Skottland
Wales	Wales
Kahilagaang Irlanda	Nordirland
Irlanda (bansa)	Irland
Unggarya	Ungern
Espanya	Spanien
Estados Unidos	USA
Belhika	Belgien
Luxembourg	Luxemburg
Sansinukob	Universum
Daigdig	Jorden
Buhay	Liv
Kamatayan	Döden
Tao	Människa
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Finland	Finland
Sweden	Sverige
Dinamarka	Danmark
Poland	Polen
Lithuania	Litauen
Italya	Italien
Suwisa	Schweiz
Austria	Österrike
Gresya	Grekland
Turkiya	Turkiet
Serbesa	Öl
Portugal	Portugal
Europa	Europa
Asya	Asien
Hilagang Amerika	Nordamerika
Antartiko	Antarktis
Wikipedia	Wikipedia
Netherlands	Nederländerna
Titi	Penis
PHP	PHP
Lungsod ng New York	New York
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Angeles, California	Los Angeles
Kompyuter	Dator
Berna	Bern
Hinebra	Genève
Zürich	Zürich
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
Cairo	Kairo
Alehandriya	Alexandria
Alexandria, Virginia	Alexandria, Virginia
Mansanas	Äpple
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android (operativsystem)
Google	Google
Mehiko	Mexiko
Karagatang Atlantiko	Atlanten
Karagatang Pasipiko	Stilla havet
California	Kalifornien
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Lunes	Måndag
Enero	Januari
Pebrero	Februari
Marso	Mars (månad)
Marte	Mars (planet)
Marte (mitolohiya)	Mars (mytologi)
Kenya	Kenya
Ethiopia	Etiopien
Ghana	Ghana
Abril	April
Mayo	Maj
Hunyo	Juni
Hulyo	Juli
Agosto	Augusti
Setyembre	September
Oktubre	Oktober
Nobyembre	November
Disyembre	December
Martes	Tisdag
Miyerkules	Onsdag
Huwebes	Torsdag
Biyernes	Fredag
Sabado	Lördag
Linggo (araw)	Söndag
Leon	Lejon
Pransiya	Frankrike
Esperanto	Esperanto
Aso	Hund
United Kingdom	Storbritannien
Pusa	Katt
Tsina	Kina
Wikang Pranses	Franska
Wiktionary	Wiktionary
Isda	Fiskar
Inuming alkohol	Alkoholdryck
Brazil	Brasilien
Alkohol	Alkoholer
François Hollande	François Hollande
Rusya	Ryssland
Cetacea	Valar
Parisukat	Kvadrat
Dagat	Hav
Dagat Itim	Svarta havet
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Pasta	Pasta
Boeing 747	Boeing 747
Pundasyong Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alemanya	Tyskland
Belarus	Vitryssland
Wikang Aleman	Tyska
Iceland	Island
Diyos	Gud
Estonia	Estland
David Cameron	David Cameron
Saturno (planeta)	Saturnus
Tsokolate	Choklad
Seresa	Körsbär
Eroplano	Flygplan
Digmaan	Krig
1 (bilang)	1 (tal)
2 (bilang)	2 (tal)
3 (bilang)	3 (tal)
4 (bilang)	4 (tal)
5 (bilang)	5 (tal)
0 (bilang)	0 (tal)
Kawalang hangganan	Oändlighet
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Rektangel
Latbiya	Lettland
Ukraine	Ukraina
Republikang Tseko	Tjeckien
Eslobakya	Slovakien
Eslobenya	Slovenien
Vilna	Vilnius
Moldavia	Moldavien
Romania	Rumänien
Bulgarya	Bulgarien
Roma	Rom
Republika ng Macedonia	Makedonien
Albanya	Albanien
Greenland	Grönland
Kroasya	Kroatien
Bosnia at Herzegovina	Bosnien och Hercegovina
Aserbayan	Azerbajdzjan
Andorra	Andorra
Tsipre	Cypern
Georgia (bansa)	Georgien
Valonia	Vallonien
Kazakhstan	Kazakstan
Malta	Malta
Flandes	Flandern
Monako	Monaco
Montenegro	Montenegro
Lungsod ng Vaticano	Vatikanstaten
San Marino	San Marino
Lungsod ng Bruselas	Bryssel (kommun)
Kuba	Kuba
Belise	Belize
Toreng Eiffel	Eiffeltornet
Barbados	Barbados
Tipaan (ng kompyuter)	Tangentbord
Java (wikang pamprograma)	Java (programspråk)
Indonesia	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Turkiska
South Africa	Sydafrika
Linkin Park	Linkin Park
Algeria	Algeriet
Uzbekistan	Uzbekistan
Taskent	Tasjkent
Varsovia	Warszawa
Paligsahang Pang-awitin ng Eurovision	Eurovision Song Contest
Modena (lungsod)	Modena
Alak	Vin
Tubig	Vatten
Katad	Läder
Kahoy	Trä
Telebisyon	Television
Pornograpiya	Pornografi
Claude Monet	Claude Monet
Chile	Chile
Hesus	Jesus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
