Aprika	Afrika
Siapan	Japan
Saut Amerika	Sydamerika
Nowe	Norge
Inglan	England
Skotlan	Skottland
Wels	Wales
Noten Aialan	Nordirland
Ripablik bilong Aialan	Irland
Hangari	Ungern
Spen	Spanien
Ol Yunaitet Stet	USA
Beljiam	Belgien
Giraun	Jorden
Pinlan	Finland
Suwidan	Sverige
Denmak	Danmark
Polan	Polen
Lituwenia	Litauen
Itali	Italien
Suwisalan	Schweiz
Ostria	Österrike
Gris	Grekland
Teki	Turkiet
Posugol	Portugal
Yurop	Europa
Esia	Asien
Not Amerika	Nordamerika
Wikipedia	Wikipedia
Ol Nitelan	Nederländerna
Niu Yok Siti	New York
Wasington DC	Washington, D.C.
Berlin	Berlin
Berne	Bern
Intanet	Internet
Barack Obama	Barack Obama
Landen	London
Kairo	Kairo
Paris	Paris
Meksiko	Mexiko
Solwara Atlantik	Atlanten
Solwara Pasifik	Stilla havet
Mande	Måndag
Janueri	Januari
Februeri	Februari
Mas	Mars (månad)
Epril	April
Me	Maj
Jun	Juni
Julai	Juli
Ogas	Augusti
Septemba	September
Oktoba	Oktober
Novemba	November
Disemba	December
Tunde	Tisdag
Trinde	Onsdag
Fonde	Torsdag
Fraide	Fredag
Sarere	Lördag
Sande	Söndag
Frens	Frankrike
Esperanto	Esperanto
Yunaitet Kingdom	Storbritannien
Ol Manmeri Ripablik bilong Saina	Kina
Tok Frens	Franska
Wiktionary	Wiktionary
Rasia	Ryssland
San Paulu	São Paulo
Siamani	Tyskland
Belaras	Vitryssland
Tok Jeman	Tyska
Aislan	Island
God	Gud
Estonia	Estland
George Walker Bush	George W. Bush
Latvia	Lettland
Yukren	Ukraina
Sek Ripablik	Tjeckien
Slovakia	Slovakien
Vilnius	Vilnius
Romenia	Rumänien
Balgeria	Bulgarien
Rom	Rom
Albenia	Albanien
Greenland	Grönland
Krowesia	Kroatien
Azerbaijan	Azerbajdzjan
Andora	Andorra
Saipras	Cypern
San Marino	San Marino
Brussels	Bryssel (kommun)
Indonisia	Indonesien
Saut Aprika	Sydafrika
Woso	Warszawa
Tok Aislan	Isländska
Jisas	Jesus
Histori	Historia
Tokples	Språk
Yurenes (planet)	Uranus
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomi
Ubuntu	Ubuntu
Szczecin	Szczecin
Ol matematik	Matematik
U2	U2
Tok Latin	Latin
Armenia	Armenien
Sebia	Serbien
Mun (i stap long heven)	Månen
Ostrelia	Australien
Save long laip	Biologi
Not Koria	Nordkorea
Islam	Islam
Lyon	Lyon
Sofia	Sofia
Banana	Banan
San	Solen
Osenia	Oceanien
Wikimedia Commons	Wikimedia Commons
Buk	Bok
De	Dygn
Yia	År
Oslo	Oslo
Katowice	Katowice
Planet	Planet
Lille	Lille
Mosko	Moskva
Tok Itali	Italienska
Niu Silan	Nya Zeeland
India	Indien
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Salomonöarna
Vanuatu	Vanuatu
Papua Niugini	Papua Nya Guinea
Nauru	Nauru
Ol Masol Ailan	Marshallöarna
Kiribas	Kiribati
Fiji	Fiji
Abus	Djur
At	Konst
Budisim	Buddhism
Sayor	Växt
Irak	Irak
Israel	Israel
Panama	Panama
Yemen	Jemen
Tok Polan	Polska
Amerika (Kontinen)	Amerika
Malaysia	Malaysia
Platon	Platon
Ripablik bilong Saina	Taiwan
Aristoteles	Aristoteles
Tailan	Thailand
Vietnam	Vietnam
Saut Koria	Sydkorea
Socrates	Sokrates
Bhutan	Bhutan
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Gul
Beijing	Peking
Gabon	Gabon
Gandi	Mahatma Gandhi
Lesoto	Lesotho
Naijiria	Nigeria
Senegal	Senegal
Sierra Leone	Sierra Leone
Julius Caesar	Julius Caesar
Save long giraun	Geografi
Kala	Färg
Blu (kala)	Blå
Bill Clinton	Bill Clinton
Yerusalem	Jerusalem
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Spanska
Mani	Pengar
Uetersen	Uetersen
Augustus Caesar	Augustus
Trajan	Trajanus
Tokyo	Tokyo prefektur
Bagdad	Bagdad
Stockholm	Stockholm
Dublin	Dublin
Reykjavik	Reykjavik
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Katolik	Katolicism
Baibel	Bibeln
Ho Chi Minh City	Ho Chi Minh-staden
Tru Jisas Lotu	The True Jesus Church
Tokples Inglis	Engelska
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Đồng Hới	Dong Hoi
Concepción	Concepción, Chile
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Benedictus XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Fotboll
1963	1963
1962	1962
Madrid	Madrid
