Afrịka	Afrika
South Amerika	Sydamerika
Spain	Spanien
Njikota Obodo Amerika	USA
Àlà	Jorden
Mádu	Människa
Finland	Finland
Poland	Polen
Turkéy	Turkiet
Obodo Békè	Europa
Asia	Asien
Olile anyanwu Amerika	Nordamerika
Antarctica	Antarktis
Wikipedia	Wikipedia
New York City	New York
Orunotu	Dator
Intanet	Internet
Barack Obama	Barack Obama
MediaWiki	Mediawiki
London	London
Òrìmìlì Atlantic	Atlanten
Òrìmìlì Pacific	Stilla havet
California	Kalifornien
Önwa mbu	Januari
February	Februari
March	Mars (månad)
Ethiopia	Etiopien
Ghana	Ghana
Önwa ànó	April
May	Maj
Önwa ishií	Juni
July	Juli
August	Augusti
September	September
October	Oktober
Önwa iri na otụ	November
Disemba	December
Odúm	Lejon
Obodoézè Nà Ofú	Storbritannien
Wiktionary	Wiktionary
Brazil	Brasilien
Mpaghara Russia	Ryssland
Wiki	Wiki
Alabama	Alabama
Jimmy Wales	Jimmy Wales
Jémanị	Tyskland
Larry Sanger	Larry Sanger
Otu	1 (tal)
Abụo	2 (tal)
Atọ	3 (tal)
Anọ	4 (tal)
Ise	5 (tal)
0 (Ónúọgụgụ)	0 (tal)
Yukrain	Ukraina
Barbados	Barbados
Algeria	Algeriet
Wikisource	Wikisource
Ńkú	Trä
Jisọs Kraịst	Jesus
Ákíkó mbu	Historia
Ihunanya	Kärlek
Wikipedia nke ndị bekee	Engelskspråkiga Wikipedia
Amamihe	Vetenskap
Wikibooks	Wikibooks
Wikiquote	Wikiquote
Ubuntu	Ubuntu
Ọmúmú-ónúọgụgụ	Matematik
Ostraliya	Australien
Bob Marley	Bob Marley
Physics	Fysik
Áláküba	Islam
Lech Wałęsa	Lech Wałęsa
Ábu	Poesi
Ìfulū	Blomma
Ama ukwu	Stad
Ogbè	By
Wikimedia Commons	Wikimedia Commons
Chad	Tchad
Ndia	Indien
Mën	Maine
Ǹkà	Konst
Osisi	Växt
Hampshire Ohúrú	New Hampshire
Jamaikạ	Jamaica
Másáchusẹts	Massachusetts
Kónétíkùt	Connecticut
Hawaii	Hawaii
Dominika	Dominica
Arctic Ocean	Norra ishavet
Àláskà	Alaska
Israel	Israel
Flórídạ	Florida
Arizona	Arizona
Oregon	Oregon
Amerikas	Amerika
Yútạh	Utah
Charlie Chaplin	Charlie Chaplin
Angola	Angola
Albert Einstein	Albert Einstein
Togo	Togo
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Eritrea	Eritrea
Pope John Paul II	Johannes Paulus II
Gabon	Gabon
Kameroon	Kamerun
Cape Verde	Kap Verde
Niger	Niger
Naigeria	Nigeria
Julius Caesar	Julius Caesar
Sudan	Sudan
Ọmúmú-àlà	Geografi
Àgwà	Färg
Michigan	Michigan
Ilinoi	Illinois
North Dakota	North Dakota
Sawt Dakótạ	South Dakota
Montana	Montana
Waịómịn	Wyoming
Jerusalem	Jerusalem
Idaho	Idaho
Washington (nkeji obodo)	Washington (delstat)
Náevadạ	Nevada
Òrìmìlì India	Indiska oceanen
Colorado	Colorado
Òtù:Ébé ihe nọr	Kategori:Topp
Chicago	Chicago
Végíníyà	Virginia
West Virginia	West Virginia
Nú Yọk	New York (delstat)
Àlá mmírí Rhode	Rhode Island
Mérílạnd	Maryland
Déláwè	Delaware
Ohaïyo	Ohio
Pensílvéníyạ	Pennsylvania
Uetersen	Uetersen
Nú Jezị	New Jersey
Ndiánà	Indiana
Jorjiạ	Georgia
Texas	Texas
Nort Kárólínạ	North Carolina
Nleda anyanwu Kàròlina	South Carolina
Mississippi	Mississippi
Tennessee	Tennessee
Nú Mézíkọ	New Mexico
Minésótạ	Minnesota
Coordinated Universal Time	Koordinerad universell tid
Wiskonsin	Wisconsin
Áyowạ	Iowa
Nebraska	Nebraska
Kánzạs	Kansas
Mizurị	Missouri
Luwisiánà	Louisiana
Kentórkị	Kentucky
Arkinsọ	Arkansas
Oklahoma	Oklahoma
Akwụkwọ Nsọ	Bibeln
Ho Chi Minh City	Ho Chi Minh-staden
Ezigbo ulo uka Jesu	The True Jesus Church
Asụsụ Inglish	Engelska
Đồng Hới	Dong Hoi
Końskowola	Końskowola
2000	2000
2003	2003
2001	2001
2005	2005
2007	2007
1909	1909
1991	1991
1993	1993
1996	1996
1998	1998
1999	1999
Önwa mbu 1	1 januari
Önwa mbu 2	2 januari
Önwa mbu 3	3 januari
Önwa mbu 4	4 januari
Önwa mbu 5	5 januari
Önwa mbu 6	6 januari
Önwa mbu 7	7 januari
Önwa mbu 8	8 januari
Önwa mbu 9	9 januari
10 Jenụwarị	10 januari
11 Jenụwarị	11 januari
Önwa mbu 12	12 januari
Önwa mbu 13	13 januari
Önwa mbu 14	14 januari
Önwa mbu 15	15 januari
Önwa mbu 16	16 januari
Önwa mbu 17	17 januari
Önwa mbu 18	18 januari
Önwa mbu 19	19 januari
Önwa mbu 20	20 januari
Önwa mbu 21	21 januari
Önwa mbu 22	22 januari
Önwa mbu 23	23 januari
Önwa mbu 24	24 januari
Önwa mbu 25	25 januari
Önwa mbu 26	26 januari
Önwa mbu 27	27 januari
Önwa mbu 28	28 januari
Önwa mbu 29	29 januari
Önwa mbu 30	30 januari
Önwa mbu 31	31 januari
Önwa iri na abụọ 1	1 december
3 Disemba	3 december
1 Febrụwarị	1 februari
2 Febrụwarị	2 februari
3 Febrụwarị	3 februari
Kurów	Kurów
4 Febrụwarị	4 februari
5 Febrụwarị	5 februari
6 Febrụwarị	6 februari
7 Febrụwarị	7 februari
8 Febrụwarị	8 februari
9 Febrụwarị	9 februari
10 Febrụwarị	10 februari
14 Febrụwarị	14 februari
13 Febrụwarị	13 februari
15 Febrụwarị	15 februari
11 Febrụwarị	11 februari
12 Febrụwarị	12 februari
19 Febrụwarị	19 februari
17 Febrụwarị	17 februari
16 Febrụwarị	16 februari
18 Febrụwarị	18 februari
20 Febrụwarị	20 februari
21 Febrụwarị	21 februari
22 Febrụwarị	22 februari
23 Febrụwarị	23 februari
24 Febrụwarị	24 februari
25 Febrụwarị	25 februari
26 Febrụwarị	26 februari
