Afríka	Afrika
Japan	Japan
Suður-Ameríka	Sydamerika
Noregur	Norge
England	England
Skotland	Skottland
Wales	Wales
Norður-Írland	Nordirland
Írska lýðveldið	Irland
Ungverjaland	Ungern
Spánn	Spanien
Bandaríkin	USA
Belgía	Belgien
Lúxemborg	Luxemburg
Alheimurinn	Universum
Jörðin	Jorden
Líf	Liv
Dauði	Döden
Maður	Människa
Hamingja	Lycka
George Washington	George Washington
Jack Bauer	Jack Bauer
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
L33t	Leet
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finnland	Finland
Svíþjóð	Sverige
Danmörk	Danmark
Pólland	Polen
Litháen	Litauen
Ítalía	Italien
Sviss	Schweiz
Austurríki	Österrike
Grikkland	Grekland
Tyrkland	Turkiet
Bjór (öl)	Öl
Portúgal	Portugal
Evrópa	Europa
Asía	Asien
Norður-Ameríka	Nordamerika
Suðurskautslandið	Antarktis
Wikipedia	Wikipedia
Holland	Nederländerna
Getnaðarlimur	Penis
PHP	PHP
New York-borg	New York
Washington (borg)	Washington, D.C.
San Francisco	San Francisco
Berlín	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Tölva	Dator
Bern	Bern
Genf	Genève
Zürich	Zürich
Internet Relay Chat	Internet Relay Chat
Internetið	Internet
Barack Obama	Barack Obama
Úrúgvæ	Uruguay
Basel	Basel
Prentari (tölvufræði)	Skrivare
London	London
Kaíró	Kairo
Höfuðverkur	Huvudvärk
Alexandría	Alexandria
Epli	Äpple
París	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android (operativsystem)
Google	Google
Mexíkó	Mexiko
Atlantshaf	Atlanten
Kyrrahaf	Stilla havet
Kalifornía	Kalifornien
Boston	Boston
Mánudagur	Måndag
Janúar	Januari
Febrúar	Februari
Mars (mánuður)	Mars (månad)
Mars (reikistjarna)	Mars (planet)
Mars (guð)	Mars (mytologi)
Kenía	Kenya
Eþíópía	Etiopien
Konungur	Monark
Gana	Ghana
Apríl	April
Maí	Maj
Júní	Juni
Júlí	Juli
Ágúst	Augusti
September	September
Október	Oktober
Nóvember	November
Desember	December
Þriðjudagur	Tisdag
Miðvikudagur	Onsdag
Fimmtudagur	Torsdag
Föstudagur	Fredag
Laugardagur	Lördag
Sunnudagur	Söndag
Ljón	Lejon
Frakkland	Frankrike
Esperanto	Esperanto
Hundur	Hund
Bretland	Storbritannien
Köttur	Katt
Alþýðulýðveldið Kína	Kina
Franska	Franska
Wikiorðabókin	Wiktionary
Fiskur	Fiskar
Etanól	Etanol
Áfengi	Alkoholdryck
Brasilía	Brasilien
Alkóhól	Alkoholer
François Hollande	François Hollande
Rússland	Ryssland
Hvalir	Valar
Yorkshire	Yorkshire
Ferningur	Kvadrat
Sjór	Hav
Svartahaf	Svarta havet
Pí	Pi
Pí (bókstafur)	Pi (bokstav)
Wiki	Wiki
Torontó	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
