阿非利加洲	Afrika
馬可·波羅	Marco Polo
一三六三年	1363
共產主義	Kommunism
一三六八年	1368
迦太基	Karthago
大英博物館	British Museum
巴拉頓湖	Balaton
蒙庇利埃	Montpellier
Category:天文	Kategori:Astronomi
吉他	Gitarr
同性戀	Homosexualitet
漢堡包	Hamburgare
夸克	Kvark
高斯	Carl Friedrich Gauss
一六四四年	1644
一六四五年	1645
Category:恒星	Kategori:Stjärnor
李白	Li Bai
伽羅華	Évariste Galois
政府	Regering
秦始皇帝	Qin Shi Huangdi
秦二世皇帝	Qin Er Shi
秦王子嬰	Ying Ziying
中東	Mellanöstern
漢	Handynastin
漢太祖高皇帝	Liu Bang
漢孝惠皇帝	Han Huidi
漢太宗孝文皇帝	Han Wendi
漢孝景皇帝	Han Jingdi
漢世宗孝武皇帝	Han Wudi
聖女貞德	Jeanne d’Arc
王莽	Wang Mang
意理	Ideologi
帝國主義	Imperialism
漢世祖光武皇帝	Han Guangwudi
共和	Republik
國	Stat
元	Yuandynastin
德意志第三帝國	Nazityskland
哥倫布	Christofer Columbus
庫克船長	James Cook
科爾蒂斯	Hernán Cortés
鄭和	Zheng He
大堡礁	Stora barriärrevet
巴拿馬運河	Panamakanalen
晉	Jindynastin (265–420)
黃河	Gula floden
晉武帝	Sima Yan
隋	Suidynastin
西夏	Xixia
脫氧核酸	DNA
趙宋	Songdynastin
宋太祖	Song Taizu
宋徽宗	Song Huizong
歐拉	Leonhard Euler
一七七四年	1774
一七七五年	1775
一七七六年	1776
一八六六年	1866
一八六七年	1867
一八六八年	1868
晝	Morgon
拿破崙二世	Napoleon II
砒霜	Arseniktrioxid
法律	Juridik
一七九四年	1794
世界人權宣言	FN:s deklaration om de mänskliga rättigheterna
一七九五年	1795
一七九六年	1796
漢語	Kinesiska
細胞	Cell
全球暖化	Global uppvärmning
禪宗	Zen
鼠標	Datormus
聖奧思定	Augustinus
精靈	Fe
朊	Protein
理則	Logik
龍捲風	Tromb
幾何	Geometri
語法	Grammatik
熱帶氣旋	Tropisk cyklon
計學	Nationalekonomi
語言學	Språkvetenskap
文字	Skrift
阿拉伯字	Arabiska alfabetet
漢字	Kinesiska tecken
西里爾字母	Kyrilliska alfabetet
孫子兵法	Krigskonsten
Category:音樂	Kategori:Musik
紅樓夢	Drömmar om röda gemak
Category:法國史	Kategori:Frankrikes historia
哈利波特	Harry Potter
放手銃	Onani
法文維基大典	Franskspråkiga Wikipedia
死刑	Dödsstraff
人權	Mänskliga rättigheter
乳	Mjölk
山	Berg
沙漠	Öken
孫文	Sun Yat-sen
薩拉丁	Saladin
阿育王	Ashoka
阿克巴大帝	Akbar den store
香港	Hongkong
韓戰	Koreakriget
南北戰爭	Amerikanska inbördeskriget
首爾特別市	Seoul
上海市	Shanghai
清	Qingdynastin
越戰	Vietnamkriget
歐几里得	Euklides
巴斯克語	Baskiska
星座	Stjärnbild
拉脫維亞語	Lettiska
原子	Atom
宗教	Religion
朝鮮語	Koreanska
笛卡兒	René Descartes
官話	Mandarin (språk)
越南語	Vietnamesiska
猶太教	Judendom
老子	Lao Zi
電鼠	Pikachu
尼采	Friedrich Nietzsche
司馬遷	Sima Qian
斯密亞丹	Adam Smith
朱熹	Zhu Xi
廷巴克圖	Timbuktu
洋	Ocean
阿奎那	Thomas av Aquino
英王維多利亞	Viktoria av Storbritannien
釋迦牟尼	Buddha
馬丁·路德	Martin Luther
儒家	Konfucianism
腹	Buken
陰脈	Ven (blodkärl)
福克蘭群島	Falklandsöarna
陽脈	Artär
唐	Tangdynastin
威爾斯王妃黛安娜	Diana, prinsessa av Wales
唐高祖	Tang Gaozu
唐太宗	Tang Taizong
唐玄宗	Tang Xuanzong
唐憲宗	Tang Xianzong
小學	Grundskola
明	Mingdynastin
明太祖	Zhu Yuanzhang
明惠宗	Jianwen-kejsaren
明成祖	Yongle-kejsaren
明仁宗	Hongxi-kejsaren
明宣宗	Xuande-kejsaren
明英宗	Zhengtong-kejsaren
明代宗	Jingtai-kejsaren
明憲宗	Chenghua-kejsaren
明孝宗	Hongzhi-kejsaren
明武宗	Zhengde-kejsaren
明世宗	Jiajing-kejsaren
明穆宗	Longqing-kejsaren
明神宗	Wanli-kejsaren
明光宗	Taichang-kejsaren
明熹宗	Tianqi-kejsaren
明思宗	Chongzhen-kejsaren
電漿	Plasma
北斗七星	Karlavagnen
金正日	Kim Jong Il
元素週期表	Periodiska systemet
自殺	Självmord
九一一事件	11 september-attackerna
電話	Telefon
梵語	Sanskrit
化合物	Kemisk förening
算術	Aritmetik
食鹽	Salt
化學元素	Grundämne
方程	Ekvation
映射	Funktion
角	Vinkel
分子	Molekyl
加速度	Acceleration
能量	Energi
弈	Go (brädspel)
金屬	Metall
氣體	Gas
液體	Vätska
固體	Fast form
船舶	Skepp
農	Jordbruk
速度	Hastighet
納米科技	Nanoteknik
勾股定理	Pythagoras sats
證明	Matematiskt bevis
數	Tal
複數	Komplexa tal
公斤	Kilogram
公尺	Meter
大麥	Korn
繪畫	Målarkonst
華爾街	Wall Street
美國總統	USA:s president
東南亞	Sydostasien
瀋陽市	Shenyang
重慶市	Chongqing
天津市	Tianjin
武漢市	Wuhan
史前	Förhistorisk tid
古埃及	Forntida Egypten
白令海峽	Berings sund
古希臘	Antikens Grekland
傑弗遜	Thomas Jefferson
麥	Vetesläktet
格里曆	Gregorianska kalendern
拉丁文維基大典	Latinskspråkiga Wikipedia
麻雀 (棋牌)	Mahjong
鹽	Salter
牛頓（單位）	Newton (enhet)
度量衡	Mätning
萬國公制	Internationella måttenhetssystemet
集論	Mängdteori
哈里發塔	Burj Khalifa
長城	Kinesiska muren
整數	Heltal
球	Sfär
大憲章	Magna Charta
阿兹特克	Azteker
上塞納省	Hauts-de-Seine
東羅馬帝國	Bysantinska riket
奧斯曼帝國	Osmanska riket
國內生產總值	Bruttonationalprodukt
銃	Eldvapen
伊比利半島	Pyreneiska halvön
坦克	Stridsvagn
實數	Reella tal
楈枒	Kokospalm
桃	Persika
湘語	Xiang (dialekt)
冰酪	Glass
文胸	Behå
阿拉伯語	Arabiska
本州	Honshu
四國	Shikoku
地中海氣候	Medelhavsklimat
科西嘉	Korsika
頂級域名	Toppdomän
百度	Baidu
澳門	Macao
土衛一	Mimas
土衛四	Dione (måne)
土衛三	Tethys (måne)
土衛五	Rhea (måne)
廣東省	Guangdong
廣西壯族自治區	Guangxi
蘇聯	Sovjetunionen
亡神星	90482 Orcus
塞德娜	90377 Sedna
孟德斯鳩	Charles-Louis de Secondat Montesquieu
青馬大橋	Tsing Ma-bron
維基大典:卓著	Wikipedia:Utmärkta artiklar
Template:Link FA	Mall:Link FA
維基大典:會館	Wikipedia:Bybrunnen
釜山廣域市	Pusan
廣州市	Guangzhou
蔣中正	Chiang Kai-shek
南京市	Nanjing
君士坦丁堡	Konstantinopel
首爾地鐵	Seouls tunnelbana
北京大學	Pekinguniversitetet
清華大學	Tsinghuauniversitetet
烏魯木齊市	Ürümqi
江蘇省	Jiangsu
浙江省	Zhejiang
鄧小平	Deng Xiaoping
新好男孩	Backstreet Boys
西藏	Tibet
西藏自治區	Autonoma regionen Tibet
圓	Cirkel
歐氏幾何	Euklidiskt rum
周恩來	Zhou Enlai
中國共產黨	Kinas kommunistiska parti
馮諾曼	John von Neumann
偽基大典	Psyklopedin
太平山	Victoria Peak
公理	Axiom
清聖祖	Kangxi-kejsaren
檀香山	Honolulu
紋章	Heraldik
曼徹斯特聯足球俱樂部	Manchester United FC
平壤直轄市	Pyongyang
模 (代數)	Modul (matematik)
九	9 (tal)
清高宗	Qianlong-kejsaren
蕭伯納	George Bernard Shaw
黑龍江省	Heilongjiang
香港島	Hongkongön
鹼金屬	Alkalimetall
非金屬	Icke-metall
鹵素	Halogen
稀有氣體	Ädelgas
維基大典:正典	Wikipedia:Bra artiklar
四川省	Sichuan
舊約	Gamla Testamentet
聖誕節	Jul
三角形	Triangel
印歐語系	Indoeuropeiska språk
穆阿邁爾·格達費	Muammar al-Gaddafi
獨島	Liancourtöarna
江南區	Gangnam-gu
大田廣域市	Daejeon
大邱廣域市	Daegu
仁川國際機場	Incheon International Airport
仁川廣域市	Inchon
京畿道	Gyeonggi
自然數	Naturliga tal
萬國音標字	Internationella fonetiska alfabetet
河北省	Hebei
革奴自由文檔許可協議	GNU Free Documentation License
臺灣	Taiwan (ö)
紐約	New York (olika betydelser)
公元元年	1
魯迅	Lu Xun
八	8 (tal)
馬德堡半球	Magdeburgska halvkloten
主禱文	Herrens bön
蒜	Vitlök
白	Vit
黑	Svart
六九八年	698
巴爾幹半島	Balkanhalvön
七二七年	727
墨索里尼	Benito Mussolini
四方	Väderstreck
十	10 (tal)
原子序	Atomnummer
九一八年	918
公元百年	100
五七〇年	570
四時	Årstid
二二二年	222
利物浦	Liverpool
鐵達尼號	RMS Titanic
五五二年	552
同位素	Isotop
蜚蠊	Kackerlackor
功率	Effekt
螢	Lysmaskar
索布語	Sorbiska
一八一二年戰爭	1812 års krig
頂點	Hörn
大理國	Dali (kungarike)
福岡市	Fukuoka
建城	Ab urbe condita
日本海	Japanska havet
宮古列島	Miyakoöarna
中亞	Centralasien
琉球國	Kungariket Ryukyu
朝鮮國	Joseon
大韓帝國	Kejsardömet Korea
高句麗	Koguryo
百濟	Baekje
新羅	Silla
奧匈帝國	Österrike-Ungern
吸血鬼日記	The Vampire Diaries
馬雅	Mayakulturen
印加國	Inkariket
縣	County
韓非子	Han Feizi
錦州市	Jinzhou, Liaoning
導數	Derivata
黃帝	Huang-Di
釣魚臺列嶼	Senkaku-öarna
中國	Kina (region)
成都市	Chengdu
咖啡廳	Kafé
蒲公英	Maskrossläktet
雪豹	Snöleopard
白話維基大典	Kinesiskspråkiga Wikipedia
二二一年	221
五四三年	543
五三六年	536
二三〇年	230
二〇二年	202
一九二年	192
總統	President
五五五年	555
五七一年	571
滿洲國	Manchukuo
二三一年	231
二二五年	225
三一一年	311
二二〇年	220
三一三年	313
五八七年	587
五四八年	548
五四九年	549
五五一年	551
五五七年	557
兄弟	Syskon
二二三年	223
二二四年	224
二一九年	219
大運河	Stora kanalen
五八九年	589
三〇四年	304
五五〇年	550
五八六年	586
五八八年	588
五五四年	554
二二九年	229
五八三年	583
二六五年	265
二六三年	263
五八五年	585
五八二年	582
五五六年	556
四二〇年	420
二八〇年	280
五八一年	581
五五八年	558
客家語	Hakka (språk)
切羅基語	Cherokesiska
羅素悖論	Russells paradox
五六九年	569
贛語	Gan (dialekt)
爪哇語	Javanesiska
滿語	Manchuiska
弧度	Radian
五五三年	553
三〇七年	307
五八四年	584
杜甫	Du Fu
人口	Befolkning
瓦爾帕萊索	Valparaíso
青銅	Brons
情報及特殊使命局	Mossad
尼亞加拉瀑布	Niagarafallen
吳語	Wu (dialekt)
昭和天皇	Hirohito
基地組織	Al-Qaida
穆罕默德二世	Mehmet II
希臘神話	Grekisk mytologi
秦	Qin (stat)
新疆維吾爾族自治區	Xinjiang
萬國首都全覽	Lista över huvudstäder
周	Zhoudynastin
形而上學	Metafysik
白宮	Vita huset
北海道	Hokkaido
科科斯（基林）群島	Kokosöarna
胡志明	Ho Chi Minh
蘇軾	Su Shi
明尼阿波利斯	Minneapolis
集	Mängd
順化市	Hué
閩東語	Mindong
閩南語	Minnan
離子	Jon
壯族	Zhuang
南斯拉夫	Jugoslavien
長毛象	Mammutar
四邊形	Fyrhörning
三船敏郎	Toshiro Mifune
文言	Klassisk kinesiska
線	Rät linje
甲烷	Metan
孫武	Sun Zi
中央情報局	Central Intelligence Agency
語法學	Syntax
聯合國安全理事會	FN:s säkerhetsråd
眼鏡	Glasögon
火柴	Tändsticka
多邊形	Polygon
市場	Marknad (ekonomi)
南海	Sydkinesiska havet
朝鮮世宗	Sejong den store
俳句	Haiku
黃海	Gula havet
今上天皇	Akihito
橫濱市	Yokohama
普魯士	Preussen
前四年	4 f.Kr.
柳州市	Liuzhou
皇帝	Kejsare
索契	Sotji
壓強	Tryck
龍貓	Min granne Totoro
线粒体	Mitokondrie
吠陀	Veda
橢圓	Ellips (matematik)
杠杆	Hävstång
自由亞洲電臺	Radio Free Asia
蟹	Krabbor
前九十年	90 f.Kr.
酸鹼度	PH
美國革命	Amerikanska frihetskriget
安徽省	Anhui
前九十一年	91 f.Kr.
忠清北道	Nordchungcheong
忠清南道	Sydchungcheong
內蒙古自治區	Inre Mongoliet
金日成	Kim Il Sung
慶尚南道	Sydgyeongsang
慶尚北道	Nordgyeongsang
全羅北道	Nordjeolla
全羅南道	Sydjeolla
濟州特別自治道	Jeju
巴別塔	Babels torn
蔚山廣域市	Ulsan
光州廣域市	Gwangju
一元二次方程	Andragradsekvation
李斯特	Franz Liszt
美式足球	Amerikansk fotboll
前八十七年	87 f.Kr.
哥德爾	Kurt Gödel
摩爾	Mol
華國鋒	Hua Guofeng
烷烴	Alkan
希爾伯特	David Hilbert
前九十五年	95 f.Kr.
黃金分割	Gyllene snittet
福建省	Fujian
班夫國家公園	Banffs nationalpark
查士丁尼一世	Justinianus I
前七十四年	74 f.Kr.
慶州市	Gyeongju
安東市	Andong
尚州市	Sangju
阿貝爾·塔斯曼	Abel Tasman
海南省	Hainan
功	Fysikaliskt arbete
漢語拼音	Pinyin
莽原氣候	Savann
甘肅省	Gansu
蘇州市	Suzhou
溫州市	Wenzhou
無錫市	Wuxi
湖州市	Huzhou
紹興市	Shaoxing
崑山市	Kunshan
寧波市	Ningbo
紙鳶	Drake (leksak)
前二〇一年	201 f.Kr.
前二〇二年	202 f.Kr.
哈爾濱市	Harbin
油	Olja
拓撲學	Topologi
文身	Tatuering
金融學	Finans
雲南省	Yunnan
多項式	Polynom
山東省	Shandong
中南半島	Indokina
天擇	Naturligt urval
地質年代	Geologisk tidsskala
壟斷	Monopol
河南省	Henan
遼寧省	Liaoning
席德	El Cid
刳剔者傑克	Jack Uppskäraren
前一五六年	156 f.Kr.
列奧尼達一世	Leonidas I av Sparta
前一三九年	139 f.Kr.
前一二二年	122 f.Kr.
前二〇六年	206 f.Kr.
西爾門·拉什迪	Salman Rushdie
前二〇三年	203 f.Kr.
化學鍵	Kemisk bindning
槍	Spjut
前一四一年	141 f.Kr.
僧院	Kloster
白堊紀	Krita (geologi)
前二〇九年	209 f.Kr.
皮薩羅	Francisco Pizarro
點	Punkt (geometri)
骰子	Tärning
吉林省	Jilin
東海	Östkinesiska havet
前二三二年	232 f.Kr.
湖南省	Hunan
青海省	Qinghai
前一九七年	197 f.Kr.
前二〇七年	207 f.Kr.
前一八八年	188 f.Kr.
矢	Pil (vapen)
前二〇五年	205 f.Kr.
鮨	Sushi
前二〇八年	208 f.Kr.
湖北省	Hubei
山西省	Shanxi
魔方	Rubiks kub
伊洛瓦底省	Ayeyarwady (region)
貴州省	Guizhou
京都議定書	Kyotoprotokollet
聯合國大會	FN:s generalförsamling
乙酸	Ättiksyra
安達曼海	Andamansjön
前二〇四年	204 f.Kr.
胡適	Hu Shi
莊子	Zhuang Zi
清孝欽顯皇后	Änkekejsarinnan Cixi
陝西省	Shaanxi
Template:共享類	Mall:Commonscat
三八三年	383
德文維基大典	Tyskspråkiga Wikipedia
拋物線	Parabel (kurva)
尿素	Urea
質數	Primtal
五七二年	572
南北朝	De sydliga och nordliga dynastierna
吾世	Minecraft
罷工	Strejk
都羅山車驛	Dorasanstationen
李舜臣汝諧	Yi Sun-shin
泰國地方	Thailands administrativa indelning
中華人民共和國地方	Administrativa regioner i Kina
日本都道府縣	Japans prefekturer
氧化物	Oxider
合數	Sammansatt tal
因數	Delbarhet
口琴	Munspel
朝鮮灣	Koreabukten
Template:Taxobox	Mall:Taxobox
繩文時代	Jōmon
魔法少女小圓	Puella Magi Madoka Magica
太極	Taiji
平行	Parallell (matematik)
極品飛車	Need for Speed
海鳥	Havsfåglar
琉球語	Ryūkyū (språk)
閩語	Min (språk)
江西省	Jiangxi
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	Abdullah bin Abdul Aziz
