Aphrika	Afrika
Kimsa	3 (tal)
Tawa	4 (tal)
Pichqa	5 (tal)
Ch'usaq yupay	0 (tal)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Rektangel
Chiqan chhuka	Rät vinkel
Litunya	Lettland
Ukranya	Ukraina
Chiksuyu	Tjeckien
Isluwakya	Slovakien
Isluwinya	Slovenien
Vilnius	Vilnius
Mulduwa	Moldavien
Rumanya	Rumänien
Bulgarya	Bulgarien
Roma	Rom
Makidunya	Makedonien
Albanya	Albanien
Kalalit Suyu	Grönland
Hurwatsuyu	Kroatien
Busna-Hirsiquwina	Bosnien och Hercegovina
Asarsuyu	Azerbajdzjan
Andurra	Andorra
Kipru	Cypern
Kartulsuyu	Georgien
Qasaqsuyu	Kazakstan
Malta	Malta
Munaku	Monaco
Yanaurqu	Montenegro
Watikanu llaqta	Vatikanstaten
San Marino	San Marino
Brussel	Bryssel (kommun)
Kuwa	Kuba
Bilisi	Belize
Yatana llumpa	Tangentbord
Indunisya	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Turkiska
Urin Aphrika	Sydafrika
Alhirya	Algeriet
Usbiksuyu	Uzbekistan
Poznań	Poznań
Warszawa	Warszawa
Modena	Modena
Winu	Vin
Yaku	Vatten
Qiru	Trä
Ñawikaruy	Television
Islandya simi	Isländska
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chili	Chile
El Greco	El Greco
Jesus	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Qatuylla	Merkurius
Wiñay kawsay	Historia
Ch'aska	Venus
Rimay	Språk
Khuyay	Kärlek
Llaqta saruy	Diktatur
Ñuñu warani	Galax
Pirwa	Jupiter
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Vintergatan
Hatun t'uqyay	Big Bang
Uranu (puriq quyllur)	Uranus
Bretagne	Bretagne
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptunus
Quyllur yachay	Astronomi
Singapur	Singapore
Hamut'ay	Vetenskap
Plutun (tuna puriq quyllur)	Pluto
Montreal	Montréal
Qhipa pacha	Framtid
Qullana Mariya	Jungfru Maria
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge
Yellowstone mamallaqta parki	Yellowstone nationalpark
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	Första världskriget
Iskay ñiqin pachantin maqanakuy	Andra världskriget
Köln	Köln
Pacha tupuq	Ur
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Szczecin	Szczecin
Yupay yachay	Matematik
U2	U2
Latin simi	Latin
Bahrayn	Bahrain
Arminya	Armenien
Sirbya	Serbien
Killa	Månen
Istanbul	Istanbul
Awstralya	Australien
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Fysik
Arhintina	Argentina
Piruw	Peru
Kawsay yachay	Biologi
Chusun Runakapaq Runallaqta Republika	Nordkorea
Kambuya	Kambodja
Quran	Koranen
Dinusawru	Dinosaurier
Suwuluhiya	Zoologi
Islam	Islam
Pira	Päronsläktet
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Butanika	Botanik
Lech Wałęsa	Lech Wałęsa
Qalla	Hjul
Thak	Fred
Lyon	Lyon
Iwrupa Huñu	Europeiska unionen
Rhône-Alpes	Rhône-Alpes
Warmi	Kvinna
Sofiya	Sofia
Witkhu	Akvedukt
Ñ	Ñ
Don Quijote	Don Quijote
Harawi	Poesi
Qilla	Indolens
Antañiqiq añaw	Datorvirus
Asikuy	Leende
Milano	Milano
Yuyay	Minne
Torino	Turin
Aka	Avföring
Sip'uti	Analöppning
Puquy k'allku	Citron
Émile Zola	Émile Zola
666	666
Tuktu	Blomma
Chomolungma	Mount Everest
Kurkumanta yachay	Anatomi
Hatun llaqta	Stad
Napoléon Bonaparte	Napoleon I
Quyllur	Stjärna
Inti	Solen
Hanaq pacha	Himmel
Louis Pasteur	Louis Pasteur
Achkiy wata	Ljusår
Uchuy llaqta	By
Victor Hugo	Victor Hugo
Usiyanya	Oceanien
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Friidrott
Inti Llika	Solsystemet
Baltiku hatun qucha	Östersjön
Trieste	Trieste
Kiru	Tänder
Yakuchaq	Väte
Ilyu	Helium
Ukhu pacha	Helvete
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Litium
Berilyu	Beryllium
Ruqyaq	Högtalare
Liwru	Bok
P'unchaw	Dygn
Anti Timur	Östtimor
Tuta	Natt
Wata	År
Pachakwata	Sekel
Łódź	Łódź
Rhein	Rhen
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Alla helgons dag
Katowice	Katowice
Luís de Camões	Luís de Camões
Siris (tuna puriq quyllur)	Ceres (dvärgplanet)
Lisboa	Lissabon
Rzeszów	Rzeszów
Haumea (puriq quyllur)	Haumea (dvärgplanet)
Makemake (tuna puriq quyllur)	Makemake (dvärgplanet)
Eris (tuna puriq quyllur)	Eris (dvärgplanet)
Lionel Messi	Lionel Messi
Padova	Padua
Boru	Bor
Nicolaus Copernicus	Nicolaus Copernicus
K'illimsayaq	Kol
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Kväve
Bergamo	Bergamo
Muksichaq	Syre
Inter Milano	FC Internazionale Milano
Pachahina	Planet
Kleopatra VII	Kleopatra VII av Egypten
Taki kapchiy	Musik
Venezia	Venedig
Rennes	Rennes
Lille	Lille
Moskwa	Moskva
Flur	Fluor
Italya simi	Italienska
Niyun	Neon
Chihuahua suyu	Chihuahua (delstat)
Sankt Peterburg	Sankt Petersburg
Chad	Tchad
Natriyu	Natrium
Chincha	Norr
Qunta q'illay	Magnesium
Ch'aqu q'illay	Aluminium
Musuq Silanda	Nya Zeeland
Urin	Söder
Indya	Indien
Ullayayaq	Kisel
Fransyu	Francium
Tuwalu	Tuvalu
Phusphuru	Fosfor
Khillay	Järn
Tunqa	Tonga
Kunti	Väster
Alessandro Volta	Alessandro Volta
Salina	Svavel
Samwa	Samoa
Anti	Öster
Salumun wat'akuna	Salomonöarna
Wanwatu	Vanuatu
Molière	Molière
Kluru	Klor
Delft	Delft
Papwa Ñukini	Papua Nya Guinea
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Zuid-Holland
Palaw	Palau
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	Noord-Holland
Mikrunisya (mama llaqta)	Mikronesiens federerade stater
Kalyu	Kalium
Zeeland pruwinsya	Zeeland
Isku q'illay	Kalcium
Flevoland pruwinsya	Flevoland
Titi	Bly
Marshall Wat'akuna	Marshallöarna
Kiribati	Kiribati
Mungul suyu	Mongoliet
Phiyi	Fiji
Iskandyu	Skandium
Titanyu	Titan
Winisuyla	Venezuela
Qhapaq chunkana	Schack
Wanadyu	Vanadin
Maine suyu	Maine
Krumu	Krom
Kawallu	Häst
Amsterdam	Amsterdam
Ayñi	Vapen
Uywa	Djur
Surinam	Surinam
Manganisu	Mangan
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Konst
Ikwadur	Ecuador
Renyu	Rhenium
Kulumbya	Colombia
Kubaltu	Kobolt
Wolframyu	Volfram
Nikil	Nickel
Muntipuquy	Smultronsläktet
Budismu	Buddhism
Groningen	Groningen
Puliwya	Bolivia
Osmiyu	Osmium
Groningen pruwinsya	Groningen (provins)
Anta	Koppar
Trinidad Tubaguwan	Trinidad och Tobago
Yura	Växt
Tsinku	Zink
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	Saint Kitts och Nevis
K'allampa	Svampar
Shamayka	Jamaica
Grinada	Grenada
Friesland pruwinsya	Friesland
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Guatemala
Gelderland	Gelderland
Utrecht pruwinsya	Utrecht (provins)
Bahamakuna	Bahamas
Connecticut suyu	Connecticut
Wallpa	Tamhöna
Hawaii suyu	Hawaii
Unduras	Honduras
Duminika	Dominica
Duminikana	Dominikanska republiken
Khuchi	Gris
Artiku mama qucha	Norra ishavet
Ayti (mama llaqta)	Haiti
Salwadur	El Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Irak
Alaska suyu	Alaska
Assen	Assen
Kustarika	Costa Rica
Israyil	Israel
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panama
Yaman	Jemen
Lausanne	Lausanne
Añaw	Virus
Pulaku simi	Polska
Hurdanya	Jordanien
Nikarawa	Nicaragua
Florida suyu	Florida
Kirkisuyu	Kirgizistan
Arizona suyu	Arizona
Kuwait	Kuwait
Florida pruwinsya	Florida (provins)
Law suyu	Laos
Qincha pruwinsya (Beni)	Cercado (provins i Beni)
Libanu	Libanon
Iténez pruwinsya	Iténez
Oregon suyu	Oregon
Maldiwakuna	Maldiverna
José Ballivián pruwinsya	José Ballivián (provins)
Awya Yala (Mulanpi)	Amerika
Utah suyu	Utah
Waaka	Nötkreatur
Mamuriy pruwinsya	Mamoré (provins)
Malasya	Malaysia
Myanmar	Burma
Nipal	Nepal
Marbán pruwinsya	Marbán (provins)
Uman	Oman
Pakistan	Pakistan
Qatar	Qatar
Sawud Arabya	Saudiarabien
Sri Lanka	Sri Lanka
Yosif Stalin	Josef Stalin
Sirya	Syrien
Platon	Platon
Galyu	Gallium
Tayiksuyu	Tadzjikistan
Chunwa Republika	Taiwan
Germanyu	Germanium
Aristotelis	Aristoteles
Thaysuyu	Thailand
Antakuru	Tåg
Arsiniku	Arsenik
Ankichiy	Radio
Turkminsuyu	Turkmenistan
Silinyu	Selen
Iridyu	Iridium
Hukllachasqa Arab Imiratukuna	Förenade Arabemiraten
Bromu	Brom
Qullqiya	Platina
Witnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novosibirsk
Tayhan Republika	Sydkorea
Jekaterinburg	Jekaterinburg
Kriptun	Krypton
Afgansuyu	Afghanistan
Nizhniy Novgorod	Nizjnij Novgorod
John Ronald Reuel Tolkien	J.R.R. Tolkien
Samara	Samara
Rubidyu	Rubidium
Quri	Guld
Omsk	Omsk
Kazan	Kazan
Yachaq	Vetenskapsman
Banladish	Bangladesh
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokratis	Sokrates
Angula	Angola
Butan	Bhutan
Bruniy	Brunei
Tansanya	Tanzania
Yaku qullqi	Kvicksilver
Roald Amundsen	Roald Amundsen
Philipinakuna	Filippinerna
Chawpi Aphrika Ripuwlika	Centralafrikanska republiken
Thalyu	Tallium
Urin qhipa	Sydpolen
Chinchay qhipa	Nordpolen
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Strontium
Itriyu	Yttrium
Wismutu	Vismut
Q'illu	Gul
Tugu	Togo
Donald Tusk	Donald Tusk
Tunisya	Tunisien
John Bardeen	John Bardeen
Sambya	Zambia
Simbabwi	Zimbabwe
Pikkin	Peking
Urin Sudan	Sydsudan
Binin	Benin
Butswana	Botswana
Burkina Phasu	Burkina Faso
Burundi	Burundi
Kumurakuna	Komorerna
Kungu Ripuwlika	Kongo-Brazzaville
Obi mayu	Ob
Kungu Runakamaq Ripuwlika	Kongo-Kinshasa
San Antonio (Texas)	San Antonio
Yiwuti	Djibouti
Polonyu	Polonium
Bayern	Bayern
Chawpipacha Khiniya	Ekvatorialguinea
Baden-Württemberg	Baden-Württemberg
Iritriya	Eritrea
Musuq Dilhi	New Delhi
Huwan Pawlu II	Johannes Paulus II
Fedor Dostoievski	Fjodor Dostojevskij
Tbilisi	Tbilisi
Pallpa	Spädbarn
Astatu	Astat
Gabun	Gabon
Mohandas Gandhi	Mahatma Gandhi
Siq'isqa rikchasapa willakuy	Tecknad serie
Gambya	Gambia
Khiniya	Guinea
Khiniya-Wisaw	Guinea-Bissau
Marphil Chala	Elfenbenskusten
Kamirun	Kamerun
Q'umir Kawu	Kap Verde
Suthusuyu	Lesotho
Libirya	Liberia
Libya	Libyen
Aachen	Aachen
Madagaskar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Muritanya	Mauretanien
Mawrisyu	Mauritius
Maruku	Marocko
Musambik	Moçambique
Namiwya	Namibia
Niqir	Niger
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Sirkonyu	Zirkonium
Santu Tumiy Prinsipipas	São Tomé och Príncipe
Sinigal	Senegal
Sichillakuna	Seychellerna
Carl von Linné	Carl von Linné
Liyun Urqu	Sierra Leone
Sumalya	Somalia
Niyobyu	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julius Caesar
Sudan	Sudan
Swasisuyu	Swaziland
K'uychi	Regnbåge
Molibdenu	Molybden
Teknesyu	Teknetium
Hamburg	Hamburg
Imayay yamkiy	Metabolism
Unquy hark'ay	Immunförsvar
Ontario qucha	Ontariosjön
Rikch'aqyay	Evolution
Huñusqa Nasyunkuna	Förenta nationerna
Hananqucha	Övre sjön
Dante Alighieri	Dante Alighieri
Allpa saywachi	Geografi
Sunqu	Hjärta
Ñutqu	Hjärna
Qara	Hud
Llimphi	Färg
Salerno	Salerno
Sutirimana	Substantiv
Praha	Prag
Ruthenyu	Rutenium
Rodyu	Rodium
Anqas	Blå
Paladyu	Palladium
Qullqi q'illay	Silver
Kadmiyu	Kadmium
Limburg (Urasuyu) pruwinsya	Limburg (Nederländerna)
Indyu	Indium
Chayanta	Tenn
Uranyu	Uran
Antimunyu	Antimon
Teluryu	Tellur
Noord-Brabant pruwinsya	Noord-Brabant
Plutonyu	Plutonium
Yudu	Jod
Neptunyu	Neptunium
Senun	Xenon
Anime	Anime
Sesyu	Cesium
Protaktinyu	Protaktinium
Pinchikilla chaqna	Elektrisk laddning
Baryu	Barium
Thoryu	Torium
Hafniyu	Hafnium
Aktinyu	Aktinium
Tantalyu	Tantal
Bill Clinton	Bill Clinton
Radyu q'illay	Radium
Radun	Radon
Lorraine	Lorraine
Alsace	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Auvergne
Busto Arsizio	Busto Arsizio
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Michigansjön
Bourgogne	Bourgogne
Aquitaine	Aquitaine
Burinkin	Puerto Rico
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
John Lennon	John Lennon
Illinois suyu	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
North Dakota suyu	North Dakota
Brandenburg	Brandenburg
Bremen suyu	Bremen (delstat)
Lombardia	Lombardiet
South Dakota suyu	South Dakota
Montana suyu	Montana
Wyoming suyu	Wyoming
Piemonte	Piemonte
Yerushalayim	Jerusalem
Idaho suyu	Idaho
Washington suyu	Washington (delstat)
Rutherfordyu	Rutherfordium
Nevada suyu	Nevada
Dubniyu	Dubnium
Seaborgyu	Seaborgium
Trentino Urin Tirul	Trentino-Alto Adige
Indiku mama qucha	Indiska oceanen
Luigi Einaudi	Luigi Einaudi
Veneto	Veneto
Kusuwu	Kosovo
Bohriyu	Bohrium
Hasyu	Hassium
Kofi Annan	Kofi Annan
Liguria	Ligurien
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Darmstadtiyu	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Röntgenium
Toscana	Toscana
Kopernisyu	Copernicium
Katiguriya:Qhapaq katiguriya	Kategori:Topp
Abruzzo	Abruzzo
Alpikuna	Alperna
Grenoble	Grenoble
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriyu	Ununtrium
Ununkwadyu	Flerovium
Ununpentyu	Ununpentium
Ununheksiyu	Livermorium
Ununseptiyu	Ununseptium
Ununoktiyu	Ununoktium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Vinter
Ch'iraw mit'a	Vår
Ruphay mit'a	Sommar
Puquy mit'a	Höst
Saddam Hussein	Saddam Hussein
Kastilla simi	Spanska
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Opera
Philadelphia (Pennsylvania)	Philadelphia
Kolkata	Calcutta
Chennai	Chennai
Dilhi	Delhi
Bangalore	Bangalore
Kunti Banla	Västbengalen
Awaq uru	Spindlar
Pakcha	Spindeldjur
Sillwichaki	Leddjur
Ruru	Frukt
Rantina qullqi	Pengar
Virginia suyu	Virginia
West Virginia suyu	West Virginia
Wata uchu	Spanskpeppar
Huron qucha	Huronsjön
New York suyu	New York (delstat)
Seryu	Cerium
Praseodimyu	Praseodym
Rhode Island suyu	Rhode Island
Neodimyu	Neodym
Palama	Insekter
Maryland suyu	Maryland
Delaware suyu	Delaware
Lenin	Vladimir Lenin
Iwrupyu	Europium
Ohio suyu	Ohio
Pennsylvania suyu	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Augustus	Augustus
Windows	Microsoft Windows
New Jersey suyu	New Jersey
Phinis simi	Finska
Indiana suyu	Indiana
Antawa	Bil
Juventus FC	Juventus FC
Roger Federer	Roger Federer
Georgia suyu	Georgia
Zagreb	Zagreb
Texas suyu	Texas
Tamil Nadu	Tamil Nadu
Genova	Genua
North Carolina suyu	North Carolina
South Carolina suyu	South Carolina
Sicilia	Sicilien
Manila	Manila
Sardegna	Sardinien
Bordeaux	Bordeaux
Corazón Aquino	Corazon Aquino
Buenos Aires	Buenos Aires
Mishiku llaqta	Mexico City
Tokyo	Tokyo prefektur
Chuqiyapu	La Paz
Barcelona	Barcelona
Chirimaway	Ananas
Mississippi suyu	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Mississippi mayu	Mississippifloden
Mizoram	Mizoram
Pataqunya	Patagonien
Tennessee suyu	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana
Musuq Mishiku suyu	New Mexico
Athina	Aten
Minnesota suyu	Minnesota
Bagdad	Bagdad
Karakas	Caracas
Wisconsin suyu	Wisconsin
Marcus Tullius Cicero	Cicero
AC Milan	AC Milan
Iowa suyu	Iowa
Nebraska suyu	Nebraska
Watimala llaqta	Guatemala City
Kansas suyu	Kansas
La Habana	Havanna
Hindi simi	Hindi
Marathi simi	Marathi
Siyaru	Cigarett
Missouri suyu	Missouri
Louisiana suyu	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentucky
Arkansas suyu	Arkansas
Neil Armstrong	Neil Armstrong
Urdu simi	Urdu
Oklahoma suyu	Oklahoma
Danuwyu mayu	Donau
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	München
Makiyasiy	Volleyboll
Innsbruck	Innsbruck
Wien	Wien
København	Köpenhamn
Stockholm	Stockholm
Helsinki	Helsingfors
Baile Átha Cliath	Dublin
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt am Main	Frankfurt am Main
Wrocław	Wrocław
Lanthanu	Lantan
Prometyu	Prometium
Samaryu	Samarium
Kaliningrad	Kaliningrad
Gadolinyu	Gadolinium
Zinedine Zidane	Zinedine Zidane
Terbyu	Terbium
Laurent Blanc	Laurent Blanc
Luksimbur (llaqta)	Luxemburg (stad)
Disprosyu	Dysprosium
Vaduz	Vaduz
Dyuspa Simin Qillqa	Bibeln
Holmyu	Holmium
San Marino (uma llaqta)	San Marino (stad)
Erbyu	Erbium
Phnom Penh	Phnom Penh
Thulyu	Tulium
Ho Chi Minh llaqta	Ho Chi Minh-staden
Iterbyu	Ytterbium
Lutesyu	Lutetium
Ha Nui	Hanoi
Chiqap Jesuspa Inlisyan	The True Jesus Church
Inlish simi	Engelska
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
T'aypik	Taipei
Amerisyu	Americium
Kuriyu	Curium
Dong Hoi	Dong Hoi
Concepción (Chile)	Concepción, Chile
Berkelyu	Berkelium
Kalifornyu	Californium
Bologna	Bologna
Einsteinyu	Einsteinium
Fermyu	Fermium
Cagliari	Cagliari
Mendelewyu	Mendelevium
Kiyiw	Kiev
Nobelyu	Nobelium
Catania	Catania
Ontario pruwinsya	Ontario
Lawrensyu	Lawrencium
Caserta	Caserta
Mathieu Debuchy	Mathieu Debuchy
Karim Benzema	Karim Benzema
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Jérémy Toulalan	Jérémy Toulalan
Manitoba pruwinsya	Manitoba
Alberta pruwinsya	Alberta
Nova Scotia pruwinsya	Nova Scotia
Yerevan	Jerevan
Końskowola	Końskowola
Dar es Salaam	Dar es-Salaam
New Brunswick pruwinsya	New Brunswick
British Columbia pruwinsya	British Columbia
Prince Edward Island pruwinsya	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Koldioxid
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Newfoundland och Labrador
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florens
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Saint John (Newfoundland wan Labrador)	St. John's, Newfoundland och Labrador
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Mat
Edmonton	Edmonton
Mach'aqway	Ormar
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Región de Arica y Parinacota
Tarapaka suyu	Región de Tarapacá
Antofagasta suyu	Región de Antofagasta
Atakama suyu	Región de Atacama
Kukimpu suyu	Región de Coquimbo
Regina (Saskatchewan)	Regina, Saskatchewan
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
Charlottetown	Charlottetown
Santiago suyu	Región Metropolitana de Santiago
Victoria (British Columbia)	Victoria, British Columbia
O'Higgins suyu	Región de O'Higgins
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Nova Scotia)	Halifax, Nova Scotia
Quebec llaqta	Québec (stad)
1 ñiqin qhulla puquy killapi	1 januari
2 ñiqin qhulla puquy killapi	2 januari
1920	1920
3 ñiqin qhulla puquy killapi	3 januari
1919	1919
1921	1921
1922	1922
Mawlli suyu	Región del Maule
4 ñiqin qhulla puquy killapi	4 januari
1923	1923
Biyubiyu suyu	Región del Biobío
1924	1924
Arawkaniya suyu	Región de la Araucanía
Mayukuna suyu	Región de Los Ríos
Quchakuna suyu	Región de Los Lagos
Aisén suyu	Región de Aisén
Georges Pompidou	Georges Pompidou
Magallanes Antartika suyu	Región de Magallanes y de la Antártica Chilena
Sit'i pachahina	Dvärgplanet
5 ñiqin qhulla puquy killapi	5 januari
Arika	Arica
6 ñiqin qhulla puquy killapi	6 januari
Iliktrun	Elektron
7 ñiqin qhulla puquy killapi	7 januari
8 ñiqin qhulla puquy killapi	8 januari
Velikiy Novgorod	Novgorod
9 ñiqin qhulla puquy killapi	9 januari
10 ñiqin qhulla puquy killapi	10 januari
11 ñiqin qhulla puquy killapi	11 januari
12 ñiqin qhulla puquy killapi	12 januari
